buildingid,ib1000buil,TYPEOFBUIL,height,floor,gfa,x,y
"152","1108246544",P,15.5,"5","1588",840277.533,819688.111
"153","1108246600",P,21.3,"7","10811",840374.054,819595.769
"154","1108246570",P,14.8,"4","3949",840325.629,819644.526
"155","1108246589",P,14.7,"4","2950",840357.393,819613.308
"156","1810133742",T,110.8,"36","38331",841331.820,819059.503
"157","1810137344",T,140.7,"46","78670",840979.979,819143.143
"158","1810138526",T,117.2,"39","36262",840724.395,819435.409
"159","1108240211",T,42.4,"14","12733",841187.021,818978.326
"160","1108239761",T,29.8,"9","4652",840704.013,819144.821
"161","1108239995",T,44.3,"14","7733",840761.881,819073.620
"162","1108240289",T,73.5,"24","21194",841079.898,818947.019
"163","1108241248",T,10.4,"3","1875",840955.643,818659.043
"164","1108246669",P,15.0,"5","9934",840704.486,819472.176
"165","1108246676",P,13.9,"4","2853",840631.712,819471.744
"166","1108246751",P,6.2,"2","2918",840656.710,819347.675
"167","1108246759",P,13.7,"4","1948",840586.156,819313.816
"168","1108246785",P,15.0,"5","3938",840632.369,819269.803
"169","1810083179",P,14.4,"4","6803",841289.414,818808.520
"170","1810090509",P,14.9,"4","5310",840623.979,819377.000
"171","1810106828",P,12.9,"4","5454",840462.324,819291.044
"172","1810133744",P,15.1,"5","8680",841333.627,819057.139
"173","1108246825",P,16.6,"5","4690",841115.024,819214.862
"174","1108246819",P,15.6,"5","8818",840845.295,819190.875
"175","1108246791",P,12.9,"4","1474",840577.960,819284.528
"176","1108246811",P,14.6,"4","3460",841140.018,819211.472
"177","1108246838",P,13.9,"4","3450",841174.592,819169.579
"178","1108246833",P,13.8,"4","3502",840865.288,819171.310
"179","1108246777",P,24.5,"8","29038",840950.037,819298.226
"180","1108246881",P,13.5,"4","2139",840742.575,819097.091
"181","1108246879",P,19.8,"6","6183",841190.872,819065.498
"182","1108246877",P,14.2,"4","11007",841363.402,819055.526
"183","1108246916",P,15.5,"5","24463",841448.988,818953.662
"184","1108246889",P,14.8,"4","11023",841389.190,819025.669
"185","1108246906",P,13.6,"4","13894",841417.391,818991.383
"186","1108246884",P,15.2,"5","9310",841314.110,819083.496
"187","1108246948",P,14.2,"4","3714",841280.094,818891.682
"188","1108246920",P,14.6,"4","8839",840745.636,818972.565
"189","1108246951",P,15.4,"5","4780",841080.399,818890.934
"190","1108246890",P,14.6,"4","5738",841230.577,819071.326
"191","1108246924",P,15.8,"5","6171",841041.290,818976.498
"192","1108246892",P,5.9,"1","1823",841116.476,819007.023
"193","1108246940",P,14.9,"4","7555",841407.944,818903.183
"194","1108246957",P,15.7,"5","9296",841285.938,818858.788
"195","1108246914",P,14.7,"4","1788",841007.024,819015.956
"196","1108246918",P,14.1,"4","2066",841019.485,819001.188
"197","1108246911",P,14.7,"4","5013",841230.578,819071.325
"198","1108246958",P,15.7,"5","4638",841102.792,818864.058
"199","1108246967",P,15.6,"5","4555",841115.998,818848.169
"200","1108246944",P,14.5,"4","3575",841097.598,818904.631
"201","1108246973",P,14.9,"4","3710",841126.970,818834.843
"202","1108247029",P,15.2,"5","16430",841045.270,818674.322
"203","1108246984",P,15.4,"5","38441",841090.444,818723.222
"204","1108246979",P,13.5,"4","6934",841197.697,818784.219
"205","1108246516",P,14.2,"4","1341",840204.485,819744.243
"206","1108247073",P,3.2,"1","514",841044.374,818652.467
"207","1109261489",P,34.4,"11","27903",841341.569,819087.456
"208","1109609299",P,9.9,"3","1504",840820.764,819049.601
"209","1109609308",P,12.5,"4","1839",840348.339,819567.800
"210","1109609311",P,6.2,"2","4796",840781.874,819104.626
"211","1108246641",P,15.4,"5","26856",840560.252,819473.905
"212","1108246573",P,14.5,"4","2605",840288.685,819661.446
"213","1108246661",P,15.4,"5","5674",840671.151,819491.910
"214","1108246618",P,13.7,"4","1352",840349.281,819596.167
"215","1108246587",P,14.0,"4","1315",840308.047,819642.520
"216","1810074616",P,15.3,"5","5453",840618.550,819457.400
"217","1810083909",P,15.2,"5","4538",841159.534,818791.038
"218","1810088279",P,15.5,"5","8250",841190.392,819308.355
"219","1108246715",P,14.1,"4","3903",840588.370,819414.542
"220","1108246730",P,15.4,"5","8810",841011.062,819391.630
"221","1108246760",P,14.0,"4","7259",841049.472,819280.804
"222","1108246697",P,16.4,"5","43007",840841.208,819370.386
"223","1108246745",P,14.5,"4","1475",840490.916,819369.309
"224","1108246766",P,15.0,"5","2412",840596.570,819303.720
"225","1108246716",P,15.3,"5","12905",840911.463,819334.724
"226","1810104765",P,3.8,"1","872",840759.305,819274.957
"227","1108246721",P,15.1,"5","13964",840938.323,819325.198
"228","1108246714",P,11.7,"3","1474",840502.531,819395.724
"229","1108246767",P,15.5,"5","2393",840677.486,819327.360
"230","1108246711",P,14.1,"4","1964",840572.696,819429.890
"231","1108246688",P,12.8,"4","4185",840605.099,819439.829
"232","1108246723",P,13.3,"4","3733",840517.910,819379.998
"233","1108246747",P,10.8,"3","9884",840982.832,819323.707
"234","1108246710",P,13.9,"4","1994",840491.894,819406.192
"235","1108246740",P,15.5,"5","8392",841057.112,819377.574
"236","1108246762",P,15.2,"5","4120",841156.084,819333.005
"237","1108246698",P,19.6,"6","5872",840546.527,819455.342
