sampleid,x,y,routeid,distance
"567",840478.846,819405.534,"36","20"
"568",840482.497,819402.117,"36","25"
"569",840486.147,819398.700,"36","30"
"570",840489.798,819395.284,"36","35"
"571",840493.448,819391.867,"36","40"
"572",840497.098,819388.450,"36","45"
"573",840500.749,819385.033,"36","50"
"574",840504.399,819381.616,"36","55"
"575",840508.050,819378.200,"36","60"
"576",840511.700,819374.783,"36","65"
"577",840515.341,819371.357,"36","70"
"578",840518.906,819367.851,"36","75"
"579",840522.471,819364.345,"36","80"
"580",840526.036,819360.839,"36","85"
"581",840529.601,819357.333,"36","90"
"582",840533.166,819353.827,"36","95"
"583",840536.731,819350.321,"36","100"
"584",840540.296,819346.815,"36","105"
"585",840543.860,819343.309,"36","110"
"586",840547.425,819339.803,"36","115"
"587",840550.990,819336.297,"36","120"
"588",840554.555,819332.791,"36","125"
"589",840558.120,819329.285,"36","130"
"590",840561.685,819325.779,"36","135"
"591",840565.250,819322.273,"36","140"
"592",840568.824,819318.777,"36","145"
"593",840572.412,819315.295,"36","150"
"594",840576.000,819311.813,"36","155"
"595",840579.589,819308.331,"36","160"
"596",840583.196,819304.868,"36","165"
"597",840586.818,819301.422,"36","170"
"598",840590.441,819297.976,"36","175"
"599",840594.064,819294.530,"36","180"
"600",840597.686,819291.084,"36","185"
"601",840601.309,819287.637,"36","190"
"602",840604.932,819284.191,"36","195"
"603",840608.554,819280.745,"36","200"
"604",840612.177,819277.299,"36","205"
"605",840615.800,819273.853,"36","210"
"606",840619.422,819270.406,"36","215"
"607",840623.045,819266.960,"36","220"
"608",840626.667,819263.514,"36","225"
"609",840636.499,819240.053,"37","0"
"610",840632.809,819243.427,"37","5"
"611",840629.120,819246.802,"37","10"
"612",840625.430,819250.176,"37","15"
"613",840621.741,819253.551,"37","20"
"614",840618.135,819257.014,"37","25"
"615",840614.539,819260.489,"37","30"
"616",840610.944,819263.963,"37","35"
"617",840607.348,819267.437,"37","40"
"618",840603.752,819270.911,"37","45"
"619",840600.156,819274.386,"37","50"
"620",840596.561,819277.860,"37","55"
"621",840592.965,819281.334,"37","60"
"622",840589.369,819284.808,"37","65"
"623",840585.773,819288.283,"37","70"
"624",840582.178,819291.757,"37","75"
"625",840578.582,819295.231,"37","80"
"626",840574.986,819298.706,"37","85"
"627",840571.390,819302.180,"37","90"
"628",840567.795,819305.654,"37","95"
"629",840564.199,819309.128,"37","100"
"630",840560.603,819312.603,"37","105"
"631",840557.007,819316.077,"37","110"
"632",840553.412,819319.551,"37","115"
"633",840549.816,819323.025,"37","120"
"634",840546.220,819326.500,"37","125"
"635",840542.624,819329.974,"37","130"
"636",840539.029,819333.448,"37","135"
"637",840535.433,819336.923,"37","140"
"638",840531.837,819340.397,"37","145"
"639",840528.241,819343.871,"37","150"
"640",840524.646,819347.345,"37","155"
"641",840521.050,819350.820,"37","160"
"642",840517.454,819354.294,"37","165"
"643",840513.858,819357.768,"37","170"
"644",840510.263,819361.243,"37","175"
"645",840506.667,819364.717,"37","180"
"646",840503.071,819368.191,"37","185"
"647",840499.475,819371.665,"37","190"
"648",840495.880,819375.140,"37","195"
"649",840492.254,819378.582,"37","200"
"650",840488.604,819382.000,"37","205"
"651",840484.954,819385.417,"37","210"
"652",840481.304,819388.834,"37","215"
"653",840477.654,819392.251,"37","220"
"654",840474.004,819395.669,"37","225"
"655",840470.354,819399.086,"37","230"
"656",840466.704,819402.503,"37","235"
"657",840463.054,819405.920,"37","240"
"658",840459.404,819409.338,"37","245"
"659",840455.754,819412.755,"37","250"
"660",840363.260,819510.875,"38","0"
"661",840366.975,819507.528,"38","5"
"662",840370.689,819504.182,"38","10"
"663",840374.404,819500.835,"38","15"
"664",840378.119,819497.488,"38","20"
"665",840381.834,819494.141,"38","25"
"666",840385.548,819490.795,"38","30"
"667",840389.263,819487.448,"38","35"
"668",840392.978,819484.101,"38","40"
"669",840396.693,819480.754,"38","45"
"670",840400.407,819477.408,"38","50"
"671",840404.122,819474.061,"38","55"
"672",840453.994,819414.403,"39","0"
"673",840448.997,819414.239,"39","5"
"674",840443.999,819414.075,"39","10"
"675",840439.002,819413.911,"39","15"
"676",840434.005,819413.746,"39","20"
"677",840429.007,819413.582,"39","25"
"678",840424.010,819413.418,"39","30"
"679",840419.013,819413.254,"39","35"
"680",840414.016,819413.090,"39","40"
"681",840409.018,819412.926,"39","45"
"682",840394.411,819412.265,"40","0"
"683",840394.569,819417.263,"40","5"
"684",840394.732,819422.260,"40","10"
"685",840394.949,819427.255,"40","15"
"686",840395.166,819432.251,"40","20"
"687",840395.226,819437.247,"40","25"
"688",840395.106,819442.246,"40","30"
"689",840394.986,819447.245,"40","35"
"690",840394.866,819452.243,"40","40"
"691",840394.843,819457.242,"40","45"
"692",840394.896,819462.242,"40","50"
"693",841144.990,818641.562,"41","0"
"694",841148.151,818637.688,"41","5"
"695",841151.311,818633.813,"41","10"
"696",841154.471,818629.939,"41","15"
"697",841157.632,818626.064,"41","20"
"698",841160.641,818622.072,"41","25"
"699",841160.962,818617.497,"41","30"
"700",841195.386,818640.863,"42","0"
"701",841199.262,818644.021,"42","5"
"702",841203.138,818647.179,"42","10"
"703",841206.980,818650.379,"42","15"
"704",841210.804,818653.600,"42","20"
"705",841214.628,818656.821,"42","25"
"706",841218.452,818660.043,"42","30"
"707",841222.291,818663.246,"42","35"
"708",841226.139,818666.439,"42","40"
"709",841229.986,818669.633,"42","45"
"710",841233.834,818672.826,"42","50"
"711",841237.681,818676.019,"42","55"
"712",841241.529,818679.212,"42","60"
"713",841245.358,818682.427,"42","65"
"714",841249.184,818685.647,"42","70"
"715",841253.009,818688.866,"42","75"
"716",841256.835,818692.085,"42","80"
"717",841260.661,818695.305,"42","85"
"718",841264.486,818698.524,"42","90"
"719",841268.312,818701.744,"42","95"
"720",841272.138,818704.963,"42","100"
"721",841275.963,818708.182,"42","105"
"722",841279.789,818711.402,"42","110"
"723",841283.615,818714.621,"42","115"
"724",841287.457,818717.820,"42","120"
"725",841291.300,818721.019,"42","125"
"726",841295.144,818724.217,"42","130"
"727",841298.987,818727.415,"42","135"
"728",841302.830,818730.613,"42","140"
"729",841306.674,818733.812,"42","145"
"730",841310.517,818737.010,"42","150"
"731",841314.360,818740.208,"42","155"
"732",841318.204,818743.406,"42","160"
