full_id,osm_id,osm_type,building,building:levels,name,name:en,name:zh,type,layer,addr:housenumber,addr:street,alt_name,old_name,old_name:en,old_name:zh,shop,wheelchair,addr:housename,addr:housename:en,addr:housename:zh,addr:street:en,addr:street:zh,addr:suburb,addr:suburb:en,addr:suburb:zh,building:levels:ref,building:levels:underground,building:levels:underground:ref,landuse,roof:levels,roof:shape,wikidata,wikipedia,source_ref:url,toilets:wheelchair,wheelchair:description,amenity,addr:city,leisure,opening_hours,information,tourism,fee,parking,isced:level,man_made,religion,description,description:en,description:zh,location,abutters,building:min_level,commercial,retail,public_transport,residential,changing_table,toilets:disposal,toilets:handwashing,unisex,emergency,pumping_station,substance,name:zh-Hans,name:zh-Hant,ref,mall,is_in,is_in:en,is_in:zh,alt_name:zh,denomination,website,office,short_name:en,short_name:zh,drinking_water,drinking_water:access,operator:type,ownership,service,usage,wheelchair:description:en,wheelchair:description:zh,power,height,capacity,supervised,operator,substation,addr:street:wikidata,government,social_facility,social_facility:for,access,salt,utility,frequency,power:separate,voltage,voltage:primary,healthcare,addr:district,addr:province,building:designation,building:designation:en,building:designation:zh,start_date,shelter_type,house,alt_addr:housenumber,alt_addr:street,access:conditional,train,pipeline,railway,ventilation,classrooms,service_times,tower:type,construction,building:function
w264462865,"264462865",way,yes,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w264462866,"264462866",way,yes,"4",,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w264462867,"264462867",way,apartments,"7",,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w264462868,"264462868",way,yes,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w264462869,"264462869",way,yes,"2",,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w264462870,"264462870",way,yes,"1",,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w264462871,"264462871",way,yes,"7",,,,,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w264462872,"264462872",way,yes,"2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w264462873,"264462873",way,yes,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
w264462874,"264462874",way,yes,"1",,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
