buildingid,ib1000buil,TYPEOFBUIL,height,floor,gfa,x,y
"63","1108239622",T,39.8,"13","12047",841052.787,819166.094
"64","1108241286",T,6.9,"2","440",841104.101,818654.318
"65","1108238699",T,26.1,"8","3883",840543.277,819376.919
"66","1108239753",T,46.8,"15","52336",841461.979,819110.611
"67","1108240512",T,45.9,"15","13888",841191.923,818820.825
"69","1108238811",T,15.8,"5","5225",841080.360,819349.227
"70","1108238842",T,43.5,"14","6715",840574.646,819346.103
"71","1108239733",T,47.0,"15","125230",841112.017,819088.596
"72","1108239709",T,46.5,"15","15104",841142.556,819144.140
"73","1108240584",T,37.0,"12","11205",841131.054,818792.202
"75","1108238874",T,22.8,"7","4893",841111.865,819339.922
"76","1108239834",T,46.8,"15","53967",841501.087,819082.210
"77","1108239856",T,46.8,"15","14996",841197.616,819097.512
"78","1108239868",T,42.6,"14","23477",841274.095,819090.005
"79","1108240768",T,49.1,"16","6326",841183.621,818756.200
"80","1108238957",T,44.3,"14","5164",840515.658,819329.374
"81","1108240713",T,3.8,"1","71",840926.545,818777.365
"82","1108239948",T,46.8,"15","52401",841542.124,819056.460
"83","1108239928",T,31.7,"10","20449",840676.158,819071.992
"84","1108239873",T,43.4,"14","60201",841019.477,819070.780
"85","1108239010",T,6.0,"2","267",841109.983,819324.399
"86","1108239968",T,42.9,"14","7603",840740.820,819075.832
"87","1108240843",T,31.5,"10","3892",841197.006,818739.060
"88","1108239085",T,30.4,"10","8880",840621.542,819299.958
"89","1108240055",T,46.4,"15","34913",841228.083,819020.413
"90","1108240040",T,15.9,"5","9190",841073.909,819025.116
"91","1108240011",T,38.3,"12","12286",840919.837,819049.323
"92","1108238237",T,7.9,"2","385",840516.844,819472.704
"93","1108238187",T,21.7,"7","2065",840505.445,819484.531
"94","1108238282",T,34.4,"11","5377",840520.558,819458.426
"95","1108239112",T,4.1,"1","21",840610.347,819308.439
"96","1108239238",T,45.9,"15","5552",840580.917,819265.613
"97","1108240121",T,4.6,"1","105",840863.919,819024.122
"98","1108240093",T,47.0,"15","86082",841322.055,818988.263
"99","1108240102",T,45.1,"15","19933",840717.556,819013.350
"100","1108239174",T,14.1,"4","1336",841077.237,819282.929
"101","1108240120",T,22.7,"7","5839",840875.627,819013.088
"102","1108240084",T,17.8,"5","2198",840872.324,819036.846
"103","1108240070",T,47.3,"15","17546",840704.555,819030.419
"104","1108240111",T,25.5,"8","9804",841200.707,819006.732
"105","1108240082",T,47.1,"15","28399",841057.344,819011.499
"106","1108238455",T,4.5,"1","29",840804.752,819440.055
"107","1108239170",T,8.5,"2","650",841095.312,819281.296
"108","1108240108",T,5.3,"1","140",841627.511,819027.365
"109","1108240201",T,47.3,"15","52506",841132.539,818952.757
"111","1108240258",T,48.6,"16","19398",840929.475,818949.987
"112","1108240195",T,45.8,"15","5609",841260.728,818985.174
"113","1108239385",T,12.3,"4","1213",841323.085,819235.160
"114","1108240264",T,44.6,"14","28038",841335.035,818938.346
"115","1108240207",T,43.5,"14","11417",841382.134,818971.004
"116","1108240222",T,43.3,"14","114",841382.316,818984.131
"118","1108239467",T,35.0,"11","9795",840770.651,819210.195
"119","1108240248",T,4.3,"1","66",841433.862,818970.459
"120","1108240228",T,47.5,"15","27394",841250.292,818952.549
"121","1108240256",T,48.6,"16","14686",841404.968,818953.820
"122","1108241608",T,6.9,"2","196",841043.453,818596.185
"123","1108238284",T,60.2,"20","14242",840587.221,819454.348
"124","1109261328",T,41.4,"13","6402",840585.082,819335.929
"125","1108246750",P,15.0,"5","3685",840499.223,819345.176
"126","1108246861",P,17.9,"5","4722",840935.117,819133.604
