origin_id,destination_id,entry_cost,network_cost,exit_cost,total_cost
"10","28",1.8035773,1981.0323657,1.2392569,1984.0751999
"10","29",1.8035773,1926.9496295,0.8054439,1929.5586507
"10","30",1.8035773,2014.1641918,1.1788190,2017.1465880
"10","31",1.8035773,2045.6922213,0.1033514,2047.5991500
"10","32",1.8035773,962.0727900,0.6362029,964.5125702
"10","33",1.8035773,941.9894243,0.5888800,944.3818816
"10","34",1.8035773,1000.3333844,1.4175794,1003.5545411
"10","35",1.8035773,1021.0338429,1.4426232,1024.2800434
"10","36",1.8035773,1203.2682154,0.4212628,1205.4930555
"10","37",1.8035773,866.6704147,0.5352641,869.0092560
"10","38",1.8035773,756.3177870,0.1792728,758.3006370
"10","39",1.8035773,724.3496660,0.5458849,726.6991281
"10","40",1.8035773,715.3048537,0.6940843,717.8025153
"10","41",1.8035773,750.1886604,0.1241398,752.1163775
"10","42",1.8035773,709.1663394,0.7545976,711.7245143
