sampleid,x,y
614,840533.254,819339.028
615,840587.047,819287.052
616,840548.807,819324.000
617,840631.228,819244.874
618,840491.561,819379.231
619,840599.722,819274.806
620,840553.021,819319.929
621,840572.852,819300.768
622,840454.194,819414.215
623,840500.018,819371.141
624,840389.087,819487.606
625,840403.636,819474.499
626,840380.883,819494.998
627,840363.763,819510.422
628,840367.556,819507.005
629,840396.424,819480.996
630,840373.122,819501.990
631,840376.925,819498.564
632,840385.109,819491.191
633,840443.947,819414.073
634,840413.281,819413.066
635,840452.048,819414.339
636,840428.373,819413.561
637,840435.892,819413.808
638,840423.134,819413.389
639,840394.547,819416.571
640,840395.007,819446.379
641,840394.860,819458.847
642,840394.877,819451.775
643,840394.879,819425.659
644,840395.219,819437.559
645,840395.156,819432.027
646,841161.588,818620.272
647,841150.535,818634.765
648,841145.864,818640.491
649,841157.626,818626.072
650,841154.423,818629.998
651,841383.406,818793.636
652,841490.163,818836.012
653,841257.806,818692.903
654,841424.541,818815.360
655,841253.309,818689.118
656,841328.928,818752.204
657,841370.396,818784.316
658,841390.886,818798.291
659,841415.345,818811.084
660,841298.208,818726.766
661,841484.140,818834.569
662,841509.573,818840.752
663,841266.755,818700.433
664,841342.349,818762.614
665,841501.502,818838.771
666,841213.214,818655.630
667,841519.863,818839.720
668,841363.362,818778.911
669,841203.109,818647.155
670,841198.928,818643.749
671,841454.815,818827.184
672,841219.473,818660.902
673,841439.170,818821.416
674,841444.088,818823.287
675,841236.436,818674.985
676,841309.879,818736.479
677,841430.417,818818.085
678,841273.493,818706.104
679,841323.658,818747.945
680,841305.396,818732.748
681,841334.093,818756.210
682,841283.836,818714.807
683,841473.895,818832.113
684,841354.779,818772.254
685,841290.588,818720.425
686,841319.524,818744.505
687,841242.490,818680.014
688,841462.045,818829.119
689,841314.378,818740.223
690,841226.787,818666.978
691,841402.181,818804.963
692,841246.828,818683.664
693,841468.613,818830.847
694,841359.278,818775.744
695,841262.560,818696.903
696,841377.547,818789.406
697,841208.860,818651.963
698,841409.199,818808.226
699,841396.577,818801.832
700,841338.181,818759.381
701,841278.154,818710.026
702,841230.684,818670.212
703,841346.850,818766.104
704,841496.214,818837.472
705,841449.825,818825.470
706,841479.018,818833.341
707,841514.653,818840.633
708,840453.785,819414.589
709,840437.766,819435.622
710,840440.042,819426.840
711,840448.920,819418.926
712,840445.093,819422.337
713,840410.350,819414.887
714,840424.076,819430.661
715,840418.131,819423.143
716,840425.734,819435.612
717,840414.031,819418.793
718,840395.273,819413.136
719,840409.861,819427.875
720,840423.452,819436.683
721,840418.216,819435.375
722,840401.271,819419.197
723,840405.366,819423.334
724,840414.027,819432.084
725,840461.794,819433.317
726,840461.116,819446.522
727,840460.919,819453.516
728,840467.079,819468.584
729,840463.267,819424.835
730,840462.776,819461.263
731,840461.333,819438.782
732,840464.232,819419.275
733,840469.194,819473.115
734,840531.660,819552.384
735,840536.227,819560.034
736,840545.505,819576.523
737,840541.797,819572.233
738,840539.191,819565.913
739,840549.768,819579.265
740,840528.702,819591.853
741,840550.616,819583.550
742,840543.475,819586.256
743,840520.868,819594.821
744,840514.463,819597.248
745,840538.669,819588.077
746,840533.871,819589.895
747,840550.953,819567.240
748,840551.877,819573.161
749,840549.053,819561.153
750,840550.973,819578.431
751,840402.194,819457.424
752,840415.735,819445.518
753,840398.084,819461.037
754,840407.977,819452.339
755,840425.643,819444.884
756,840411.979,819448.821
757,840420.671,819444.304
758,840574.792,819574.193
759,840558.046,819580.654
760,840565.927,819577.568
761,840579.542,819572.405
762,840553.213,819582.547
763,840434.858,819446.307
764,840430.996,819442.592
765,840436.953,819455.962
766,840440.506,819459.492
767,840449.721,819468.648
768,840454.624,819473.519
769,840444.224,819463.186
770,840459.977,819478.838
771,840436.782,819450.793
772,840426.474,819452.916
773,840416.664,819462.516
774,840422.063,819457.545
775,840410.422,819468.264
776,840427.283,819445.634
777,840404.649,819473.579
778,840429.242,819443.659
779,840551.651,819582.865
780,841167.533,818637.900
781,841156.254,818639.240
782,841162.067,818638.155
783,841176.147,818639.521
784,841190.831,818641.642
785,841183.487,818642.899
786,841147.949,818641.523
787,840387.150,819405.199
788,840381.997,819400.211
789,840393.294,819411.178
790,840366.570,819385.738
791,840373.442,819392.184
792,840366.239,819379.825
793,840377.680,819396.161
794,840404.498,819408.820
795,840390.763,819394.737
796,840378.067,819381.720
797,840373.264,819378.471
798,840366.786,819379.682
799,840398.318,819402.483
800,840386.532,819390.399
801,840394.735,819398.809
802,840382.127,819385.882
803,840408.351,819412.770
804,840513.402,819597.656
805,840502.599,819602.092
806,840486.211,819608.823
807,840507.866,819599.930
808,840464.080,819617.911
809,840472.109,819614.614
810,840495.026,819605.203
811,840477.230,819612.511
812,840750.480,818903.866
813,840745.120,818911.465
814,840757.016,818895.138
815,840772.762,818874.113
816,840766.943,818881.883
817,840741.871,818916.150
818,840761.684,818888.905
819,840753.823,818899.402
820,840999.101,818725.213
821,840973.969,818725.222
822,841023.128,818745.838
823,841012.310,818735.283
824,840992.352,818722.886
825,840986.239,818722.466
826,841004.842,818729.320
827,841016.756,818738.877
828,841022.903,818763.827
829,840979.647,818723.699
830,841025.271,818753.913
831,841024.456,818758.995
832,840989.581,818707.879
833,841037.003,818738.911
834,841021.223,818728.635
835,841013.883,818723.358
836,840996.016,818711.545
837,841007.375,818718.778
838,841026.609,818732.363
839,841032.004,818735.916
840,841043.360,818741.999
841,841001.394,818714.925
842,840980.706,818712.165
843,840984.191,818707.401
844,840973.063,818722.614
845,840977.213,818716.940
846,840435.945,819628.962
847,840457.033,819620.701
848,840447.597,819624.397
849,840441.015,819626.976
850,840452.269,819622.567
851,840462.333,819618.624
852,840349.644,819523.701
853,840360.566,819513.413
854,840341.351,819531.540
855,840345.967,819527.164
856,840355.432,819518.249
857,840504.484,819516.373
858,840507.993,819519.939
859,840515.682,819534.311
860,840524.641,819544.240
861,840509.119,819528.068
862,840530.405,819550.625
863,840508.009,819520.169
864,840520.065,819539.138
865,840463.191,819481.998
866,840473.106,819491.656
867,840483.114,819501.404
868,840476.771,819495.226
869,840492.875,819510.913
870,840498.155,819512.440
871,840468.615,819487.281
872,840488.549,819506.699
873,840500.959,819512.702
874,840319.395,819536.328
875,840353.189,819503.432
876,840243.432,819610.455
877,840292.515,819562.764
878,840207.346,819645.517
879,840177.030,819674.973
880,840390.920,819467.615
881,840161.983,819689.593
882,840324.732,819531.068
883,840252.081,819602.051
884,840332.508,819523.404
885,840304.785,819550.729
886,840239.748,819614.035
887,840347.906,819508.447
888,840180.973,819671.142
889,840286.835,819568.283
890,840372.284,819485.305
891,840218.533,819634.647
892,840264.585,819589.902
893,840151.840,819699.448
894,840298.380,819557.042
895,840259.448,819594.893
896,840387.120,819471.223
897,840201.425,819651.270
898,840222.328,819630.960
899,840311.411,819544.198
900,840229.484,819624.008
901,840247.432,819606.568
902,840149.937,819708.045
903,840270.242,819584.405
904,840278.770,819576.119
905,840192.429,819660.011
906,840213.036,819639.989
907,840358.678,819498.221
908,840337.266,819518.714
909,840157.638,819693.815
910,840364.227,819492.954
911,840168.276,819683.479
912,840378.043,819479.839
913,840283.134,819571.879
914,840196.627,819655.932
915,840172.164,819679.701
916,840344.267,819511.901
917,840328.798,819527.060
918,840185.336,819666.903
919,840235.346,819618.311
920,840382.056,819476.030
921,840273.891,819580.860
922,840368.465,819488.931
923,840394.802,819463.930
924,840315.587,819540.082
925,840412.958,819316.483
926,840372.278,819358.402
927,840384.439,819345.570
928,840432.103,819297.851
929,840400.060,819329.088
930,840451.666,819278.813
931,840436.428,819293.642
932,840407.281,819322.008
933,840361.039,819370.261
934,840427.912,819301.931
935,840377.807,819352.568
936,840446.136,819284.196
937,840421.941,819307.741
938,840366.334,819364.674
939,840391.788,819337.816
940,840417.626,819311.941
941,840395.454,819333.947
942,840442.352,819287.878
943,840388.268,819341.530
944,840403.653,819325.538
945,840717.096,819142.106
946,840804.760,819038.584
947,840733.013,819122.772
948,840690.756,819174.728
949,840656.998,819216.537
950,840778.981,819068.834
951,840637.852,819238.859
952,840785.103,819061.650
953,840755.655,819096.204
954,840713.716,819146.292
955,840745.558,819108.052
956,840795.468,819049.487
957,840705.758,819156.148
958,840671.490,819198.588
959,840643.366,819233.419
960,840740.655,819113.805
961,840775.543,819072.868
962,840724.116,819133.412
963,840762.564,819088.097
964,840700.987,819162.057
965,840647.709,819228.040
966,840770.383,819078.923
967,840687.201,819179.130
968,840800.976,819043.025
969,840683.181,819184.109
970,840695.686,819168.622
971,840720.359,819138.065
972,840663.800,819208.112
973,840667.722,819203.255
974,840728.554,819128.004
975,840815.345,819029.653
976,840709.018,819152.111
977,840679.274,819188.947
978,840788.728,819057.396
979,840750.413,819102.355
980,840808.664,819034.004
981,840792.007,819053.549
982,840675.667,819193.415
983,840651.996,819222.731
984,840766.358,819083.645
985,840737.065,819118.018
986,840759.319,819091.904
987,840660.620,819212.050
988,840604.425,819101.105
989,840563.844,819156.799
990,840556.262,819167.204
991,840633.623,819061.034
992,840680.166,818997.157
993,840668.355,819013.367
994,840659.318,819025.770
995,840694.411,818977.725
996,840654.471,819032.422
997,840672.277,819007.984
998,840614.070,819087.868
999,840702.420,818966.805
1000,840594.466,819114.772
1001,840636.755,819056.735
1002,840582.750,819130.852
1003,840685.289,818990.165
1004,840644.443,819046.184
1005,840629.953,819066.070
1006,840576.446,819139.503
1007,840698.196,818972.565
1008,840619.867,819079.912
1009,840553.020,819171.653
1010,840587.865,819123.832
1011,840665.107,819017.824
1012,840623.234,819075.292
1013,840568.238,819150.768
1014,840559.457,819162.819
1015,840689.957,818983.799
1016,840572.159,819145.387
1017,840676.701,819001.914
1018,840649.842,819038.775
1019,840641.294,819050.506
1020,840548.677,819177.613
1021,840600.473,819106.529
1022,840608.321,819095.758
1023,840590.950,819119.598
1024,840626.664,819070.584
1025,840579.772,819134.939
1026,840597.431,819110.703
1027,840787.051,819075.018
1028,840772.413,819092.661
1029,840807.095,819050.861
1030,840677.823,819206.471
1031,840759.942,819107.691
1032,840710.824,819166.888
1033,840684.993,819197.936
1034,840697.452,819183.005
1035,840735.390,819137.281
1036,840745.475,819125.126
1037,840669.152,819216.791
1038,840781.913,819081.210
1039,840660.159,819227.496
1040,840815.574,819040.641
1041,840818.284,819029.872
1042,840764.902,819101.713
1043,840681.271,819202.366
1044,840818.098,819035.384
1045,840691.256,819190.472
1046,840802.538,819056.353
1047,840650.018,819239.104
1048,840704.054,819175.048
1049,840738.790,819133.183
1050,840714.235,819162.777
1051,840795.915,819064.335
1052,840643.441,819246.114
1053,840655.978,819232.472
1054,840790.850,819070.440
1055,840756.166,819112.242
1056,840717.902,819158.358
1057,840730.423,819143.268
1058,840665.172,819221.528
1059,840635.286,819254.805
1060,840810.918,819046.253
1061,840776.864,819087.296
1062,840672.388,819212.939
1063,840751.778,819117.530
1064,840722.360,819152.985
1065,840742.205,819129.068
1066,840769.086,819096.670
1067,840638.974,819250.874
1068,840725.830,819148.803
1069,840799.227,819060.343
1070,840700.767,819179.010
1071,840707.316,819171.116
1072,840503.604,819228.934
1073,840496.622,819235.639
1074,840475.567,819255.855
1075,840516.643,819216.415
1076,840462.515,819268.388
1077,840524.459,819208.909
1078,840484.435,819247.340
1079,840489.349,819242.622
1080,840509.381,819223.387
1081,840468.310,819262.823
1082,840453.604,819276.944
1083,840532.201,819199.820
1084,840529.185,819203.883
1085,840538.469,819191.378
1086,840547.165,819179.663
1087,840458.642,819272.107
1088,840520.304,819212.900
1089,840479.406,819252.169
1090,840542.166,819186.397
1091,840535.214,819195.762
1092,840492.968,819239.147
1093,841057.073,819397.029
1094,841051.057,819399.301
1095,841055.826,819397.532
1096,841635.278,818992.986
1097,841610.526,818953.288
1098,841602.777,818938.028
1099,841629.167,818986.374
1100,841593.776,818920.327
1101,841619.283,818970.196
1102,841578.377,818891.566
1103,841612.821,818957.818
1104,841569.843,818879.836
1105,841597.198,818927.058
1106,841639.807,818997.017
1107,841625.723,818980.819
1108,841587.025,818907.051
1109,841605.544,818943.471
1110,841616.353,818964.787
1111,841599.770,818932.115
1112,841589.641,818912.197
1113,841573.434,818884.002
1114,841608.046,818948.394
1115,841582.896,818898.931
1116,841622.078,818974.854
1117,841526.494,818839.189
1118,841531.797,818840.585
1119,841533.852,818841.193
1120,841527.764,818847.557
1121,841531.725,818841.151
1122,841478.886,818899.449
1123,841493.305,818882.559
1124,841501.484,818872.613
1125,841489.922,818886.673
1126,841484.716,818893.004
1127,841527.025,818848.729
1128,841506.608,818866.382
1129,841512.386,818859.356
1130,841497.687,818877.231
1131,841521.399,818851.788
1132,841474.696,818904.057
1133,841471.143,818907.964
1134,841516.354,818854.532
1135,841481.557,818904.070
1136,841491.184,818896.134
1137,841519.501,818865.718
1138,841513.535,818872.340
1139,841470.702,818908.976
1140,841508.153,818878.314
1141,841523.187,818861.627
1142,841498.504,818889.023
1143,841485.698,818900.657
1144,841524.991,818856.298
1145,841526.689,818850.038
1146,841503.106,818883.916
1147,841476.626,818907.424
1148,841495.117,818892.783
1149,840299.386,819441.604
1150,840351.646,819379.782
