E32SW,3948616984T20050430,Prosperity Millennia Plaza
E32NW,3952616962T20050430,"Harbour Plaza, North Point"
N25NE,3440721962T20050430,Hing Lung Building
N25SE,3446721913T20050430,Apollo Building
N25SW,3442821896T20050430,Spring Wide Mansion
N25NW,3435521952T20050430,237 Castle Peak Road
E33NE,3958316762P20190402,Golden Horse Mansion
E33SE,3958516796T20050430,Mansion Building
E33SW,3964416795T20050430,Lai Wah Mansion
E33NW,3966616773T20050430,Ritz Garden Apartments
N26NE,3425522081T20050430,278 Castle Peak Road
N26SE,3426122086T20050430,276 Castle Peak Road
N26SW,3424622060T20050430,291 Castle Peak Road
N26NW,3423522055T20050430,293 Castle Peak Road
E34NE,3965616556T20050430,Quarry Bay Station
E34SE,3971016577T20050430,North Point Government Primary School
E34SW,3969716622T20050430,Wai Fong Court
E34NW,3964516625T20060213,Tor Po Mansion
N27NE,3411322206T20150818,Heya Star Tower 2
N27SE,3412322196T20050430,Shun Lee Commercial Building
N27SW,3409522184T20050430,363 Castle Peak Road
N27NW,3408022184T20050430,Po Sang Bank Building
N28NE,3394622348T20050430,Kincheng Commercial Centre
N28SE,3396422284T20050430,Tone King Building
N28SW,3398322310T20150522,Heya Delight
N28NW,3392222314T20050430,Florence Plaza
N29NE,3374022339T20050430,Por Yen Building
N29SE,3376022337T20050430,Park Building
N29SW,3380722302T20050511,Federal Mansion Block A
N29NW,3376122297T20050430,473 Castle Peak Road
N30NE,3357322267T20050430,Peninsula Tower
N30SE,3360322301T20050430,V GA Building
N30SW,3362922228T20050430,Lai Cheong Factory Building
N30NW,3357022211T20050430,Hong Kong Spinners Industrial Building Phase VI
N31NE,3336622184T20050430,Fung Wah Factorial Building
N31SE,3341422216T20050430,Wing Kut Industrial Building
N31SW,3343922161T20050430,Kowloon Plaza
N31NW,3337522084T20050430,Hong Kong Spinners Industrial Building Phase I And II
N32NE,3314922112T20050430,Ka Ming Court
N32SE,3319422119T20050430,Trendy Centre
N32SW,3316422025T20050430,Hong Kong Industrial Centre Block A
N32NW,3319422052T20050430,Hong Kong Industrial Centre Block B
N33NE,3302022071T20050430,Hop Hing Industrial Building
N33SE,3304322004T20050430,International Industrial Building
N33SW,3305522081T20050430,Charm Centre
N33NW,3300922004T20050430,Tong Yuen Factory Building
