N24NE,3455921833T20050430,136-138 Castle Peak Road,138 CASTLE PEAK ROAD,
N24SE,3457921824T20050430,Wai Lee Commercial Building,128 CASTLE PEAK ROAD,
N24SW,3457121779T20050430,Hung Yu Mansion Block B,143 CAMP STREET,
N24NW,3453621809T20050430,Prince Theatre,181 CASTLE PEAK ROAD,
E32NE,3949516898T20050430,Man Cheung House,740-748 KING'S ROAD,
E32SE,3947116941T20050430,AIA Hong Kong Tower,734 KING'S ROAD,
E32SW,3948616984T20050430,Prosperity Millennia Plaza,663 KING'S ROAD,
E32NW,3952616962T20050430,"Harbour Plaza, North Point",665 KING'S ROAD,
N25NE,3440721962T20050430,Hing Lung Building,202-210 CASTLE PEAK ROAD,
N25SE,3446721913T20050430,Apollo Building,170 CASTLE PEAK ROAD,
N25SW,3442821896T20050430,Spring Wide Mansion,205-209 CASTLE PEAK ROAD,
N25NW,3435521952T20050430,237 Castle Peak Road,237 CASTLE PEAK ROAD,
E33NE,3958316762P20190402,Golden Horse Mansion,1 HORSE SHOE LANE,*
E33SE,3958516796T20050430,Mansion Building,842 KING'S ROAD,
E33SW,3964416795T20050430,Lai Wah Mansion,867 KING'S ROAD,
E33NW,3966616773T20050430,Ritz Garden Apartments,921 KING'S ROAD,
N26NE,3425522081T20050430,278 Castle Peak Road,278 CASTLE PEAK ROAD,
N26SE,3426122086T20050430,276 Castle Peak Road,276 CASTLE PEAK ROAD,
N26SW,3424622060T20050430,291 Castle Peak Road,291 CASTLE PEAK ROAD,
N26NW,3423522055T20050430,293 Castle Peak Road,293 CASTLE PEAK ROAD,
E34NE,3965616556T20050430,Quarry Bay Station,38 QUARRY BAY STREET,*
E34SE,3971016577T20050430,North Point Government Primary School,2A FINNIE STREET,
E34SW,3969716622T20050430,Wai Fong Court,955-957 KING'S ROAD,
E34NW,3964516625T20060213,Tor Po Mansion,2A FINNIE STREET,*
N27NE,3411322206T20150818,Heya Star Tower 2,368 CASTLE PEAK ROAD,
N27SE,3412322196T20050430,Shun Lee Commercial Building,338-340 CASTLE PEAK ROAD,
N27SW,3409522184T20050430,363 Castle Peak Road,363 CASTLE PEAK ROAD,
N27NW,3408022184T20050430,Po Sang Bank Building,130-132 DES VOEUX ROAD CENTRAL,*
N28NE,3394622348T20050430,Kincheng Commercial Centre,412-420 CASTLE PEAK ROAD,
N28SE,3396422284T20050430,Tone King Building,413 CASTLE PEAK ROAD,
N28SW,3398322310T20150522,Heya Delight,400 CASTLE PEAK ROAD,
N28NW,3392222314T20050430,Florence Plaza,23 CHEUNG WAH STREET,
N29NE,3374022339T20050430,Por Yen Building,478 CASTLE PEAK ROAD,
N29SE,3376022337T20050430,Park Building,476 CASTLE PEAK ROAD,
N29SW,3380722302T20050511,Federal Mansion Block A,467 CASTLE PEAK ROAD,
N29NW,3376122297T20050430,473 Castle Peak Road,473 CASTLE PEAK ROAD,
N30NE,3357322267T20050430,Peninsula Tower,538 CASTLE PEAK ROAD,
N30SE,3360322301T20050430,V GA Building,532 CASTLE PEAK ROAD,
N30SW,3362922228T20050430,Lai Cheong Factory Building,479 CASTLE PEAK ROAD,
N30NW,3357022211T20050430,Hong Kong Spinners Industrial Building Phase VI,481 CASTLE PEAK ROAD,
N31NE,3336622184T20050430,Fung Wah Factorial Building,646-648 CASTLE PEAK ROAD,
N31SE,3341422216T20050430,Wing Kut Industrial Building,608 CASTLE PEAK ROAD,
N31SW,3343922161T20050430,Kowloon Plaza,485 CASTLE PEAK ROAD,
N31NW,3337522084T20050430,Hong Kong Spinners Industrial Building Phase I And II,800 CHEUNG SHA WAN ROAD,
N32NE,3314922112T20050430,Ka Ming Court,688 CASTLE PEAK ROAD,
N32SE,3319422119T20050430,Trendy Centre,682 CASTLE PEAK ROAD,
N32SW,3316422025T20050430,Hong Kong Industrial Centre Block A,489-491 CASTLE PEAK ROAD,
N32NW,3319422052T20050430,Hong Kong Industrial Centre Block B,489-491 CASTLE PEAK ROAD,*
N33NE,3302022071T20050430,Hop Hing Industrial Building,704 CASTLE PEAK ROAD,
N33SE,3304322004T20050430,International Industrial Building,501 CASTLE PEAK ROAD,
N33SW,3305522081T20050430,Charm Centre,700 CASTLE PEAK ROAD,*
N33NW,3300922004T20050430,Tong Yuen Factory Building,505 CASTLE PEAK ROAD,
