街段–小合併組,街段–小合併組（英文名稱）,街段–小合併組（中文名稱）,總人口,家庭住戶數目,有人居住的屋宇單位數目
Small Street Block Group,Name of Small Street Block Group (in English),Name of Small Street Block Group (in Chinese),Total population,Domestic households,Occupied quarters
ssbg,ssbg_eng,ssbg_chi,t_pop,dh,oq
53209,532/09,532/09,749,229,229
53214S,532/14-15 and 532/18,532/14-15 及 532/18,796,251,251
53216S,532/16-17 and 532/21,532/16-17 及 532/21,880,227,227
53219S,532/19-20,532/19-20,1348,350,350
53222,532/22,532/22,549,116,144
53301S,533/01-02,533/01-02,803,212,212
53303S,"533/03, 533/05, 533/07 and 533/11","533/03, 533/05, 533/07 及 533/11",1613,530,542
53304,533/04,533/04,1192,345,345
53306S,"533/06, 533/08-10, 533/12 and 533/14","533/06, 533/08-10, 533/12 及 533/14",598,217,217
53313,533/13,533/13,528,172,172
54101S,"541/01, 541/06 and 541/12","541/01, 541/06 及 541/12",1425,330,457
54102S,"541/02-03, 541/05 and 541/09-11","541/02-03, 541/05 及 541/09-11",855,305,305
54104S,541/04 and 541/13-14,541/04 及 541/13-14,15071,4361,4362
54107,541/07,541/07,1007,354,354
54108,541/08,541/08,516,123,123
54201S,542/01-04 and 542/19-20,542/01-04 及 542/19-20,647,210,210
54205S,"542/05, 542/10, 542/14 and 542/23-25","542/05, 542/10, 542/14 及 542/23-25",925,376,376
54206S,"542/06-07, 542/15-16 and 542/21","542/06-07, 542/15-16 及 542/21",1839,611,630
54208S,542/08 and 542/17,542/08 及 542/17,4347,1113,1113
54209,542/09,542/09,2725,967,984
54211,542/11,542/11,539,159,169
54212,542/12,542/12,508,155,155
54213,542/13,542/13,733,251,241
54301S,"543/01-02, 543/10, 543/17 and 546/01","543/01-02, 543/10, 543/17 及 546/01",513,188,188
54303S,543/03-07 and 543/15-16,543/03-07 及 543/15-16,418,207,207
54308S,543/08-09,543/08-09,1366,376,376
54312S,543/12-14,543/12-14,1504,412,412
54401S,"544/01, 544/03-04 and 544/07-12","544/01, 544/03-04 及 544/07-12",1683,693,693
54402,544/02,544/02,654,129,183
54405S,544/05-06,544/05-06,740,242,242
54501S,545/01-03,545/01-03,621,241,263
54504,545/04,545/04,707,219,231
54505S,545/05-07,545/05-07,805,135,170
54701S,547/01-02,547/01-02,791,264,264
54703,547/03,547/03,2582,931,931
54704,547/04,547/04,4525,1311,1481
54705S,547/05-06,547/05-06,711,256,256
54707S,547/07-08,547/07-08,595,182,182
54709,547/09,547/09,540,169,169
54710,547/10,547/10,497,175,175
54711,547/11,547/11,418,162,162
54712S,547/12-13,547/12-13,1385,465,475
54801S,548/01-02,548/01-02,888,69,102
54803,548/03,548/03,2033,633,665
54804S,548/04-07,548/04-07,768,258,256
61001S,610/01-04,610/01-04,534,133,133
62001S,"620/01, 622/01-02 and 622/12-13","620/01, 622/01-02 及 622/12-13",550,195,173
62114S,621/14-16 and 621/19,621/14-16 及 621/19,625,203,212
62117S,621/17 and 621/21,621/17 及 621/21,792,275,275
62122,621/22,621/22,1180,403,403
62306,623/06,623/06,641,233,233
62307,623/07,623/07,657,231,231
62401,624/01,624/01,425,137,147
62402S,"624/02, 624/06, 624/13-14 and 624/31-32","624/02, 624/06, 624/13-14 及 624/31-32",1002,330,339
62403,624/03,624/03,1579,434,461
62404S,624/04-05 and 624/07,624/04-05 及 624/07,882,319,319
62408,624/08,624/08,1127,427,427
62409S,624/09-11,624/09-11,848,379,386
62412,624/12,624/12,1626,207,248
62415S,624/15-18 and 624/21,624/15-18 及 624/21,4348,1661,1688
62419S,624/19-20,624/19-20,1555,543,546
62422S,624/22-23,624/22-23,2388,781,772
62424,624/24,624/24,2081,710,720
62426S,624/26-27,624/26-27,586,197,197
62428,624/28,624/28,19558,6179,6201
62434S,624/34 and 624/45-51,624/34 及 624/45-51,7700,2674,2663
62435S,624/35-37,624/35-37,6321,1947,1950
62438S,624/38 and 624/40,624/38 及 624/40,3096,978,986
62439,624/39,624/39,1891,545,545
62441S,624/41-43,624/41-43,754,278,266
62501,625/01,625/01,4711,1646,1654
62502S,"625/02-10, 625/66 and 625/69","625/02-10, 625/66 及 625/69",455,143,143
62511,625/11,625/11,2822,1136,1096
62513S,625/13-14 and 625/19-20,625/13-14 及 625/19-20,5598,1985,1992
62515S,625/15-18,625/15-18,13383,4952,4952
62521S,625/21-23,625/21-23,459,181,169
62525,625/25,625/25,4813,1576,1576
62526S,"625/26, 625/41 and 625/43","625/26, 625/41 及 625/43",1177,487,488
62527,625/27,625/27,1292,413,413
62528,625/28,625/28,6572,2225,2287
62529S,625/29-34,625/29-34,591,178,187
62535,625/35,625/35,532,219,219
62536,625/36,625/36,619,232,240
62537,625/37,625/37,1155,483,483
62538,625/38,625/38,1072,586,586
62539,625/39,625/39,710,297,297
62540,625/40,625/40,1027,429,429
62542,625/42,625/42,4098,1309,1309
62544S,625/44 and 625/68,625/44 及 625/68,4105,1517,1526
62545,625/45,625/45,513,191,191
62546S,625/46-47,625/46-47,534,241,241
62548S,625/48-49,625/48-49,613,180,180
62550,625/50,625/50,581,202,202
62551S,625/51-65 and 625/67,625/51-65 及 625/67,1120,421,421
62601S,626/01-02 and 626/09-10,626/01-02 及 626/09-10,2845,869,869
62603S,"626/03-04, 626/06 and 626/11","626/03-04, 626/06 及 626/11",3274,1199,1199
62607,626/07,626/07,12442,4921,4944
62608,626/08,626/08,4887,1886,1886
62701S,627/01 and 627/03,627/01 及 627/03,8599,2852,2869
62702,627/02,627/02,2853,904,924
62704,627/04,627/04,4485,1360,1360
62705,627/05,627/05,20317,7082,7082
62801,628/01,628/01,3523,1074,1074
62802S,628/02-05 and 628/21,628/02-05 及 628/21,887,252,260
62806,628/06,628/06,6327,1886,1886
62807S,628/07-09,628/07-09,1052,311,320
62810,628/10,628/10,9859,3572,3626
62811,628/11,628/11,6129,2032,2032
62812,628/12,628/12,7030,2361,2361
62813,628/13,628/13,7065,2476,2491
62814,628/14,628/14,15915,5103,5113
62815,628/15,628/15,12287,3651,3742
62816S,628/16-20,628/16-20,1290,461,463
62822,628/22,628/22,7393,2296,2296
62823,628/23,628/23,5426,1779,1779
62901S,629/01 and 629/03-04,629/01 及 629/03-04,1032,386,386
63101S,631/01 and 631/09-10,631/01 及 631/09-10,619,225,225
63103,631/03,631/03,3078,1056,1056
63104,631/04,631/04,669,203,203
63105S,631/05 and 632/09-11,631/05 及 632/09-11,1356,435,435
63106S,631/06-07 and 633/03,631/06-07 及 633/03,1445,466,466
63108,631/08,631/08,2662,776,794
63111,631/11,631/11,1715,538,538
63401S,634/01 and 634/08-09,634/01 及 634/08-09,800,302,302
63402S,"634/02, 634/05-06 and 634/17-19","634/02, 634/05-06 及 634/17-19",926,364,364
63403,634/03,634/03,492,176,176
63404S,634/04 and 634/44,634/04 及 634/44,509,237,237
63407,634/07,634/07,1107,450,428
63411S,"634/11, 634/13 and 634/16","634/11, 634/13 及 634/16",1041,381,381
63414S,634/14 and 634/40,634/14 及 634/40,1355,506,506
63415,634/15,634/15,993,345,345
63421,634/21,634/21,596,221,221
63422S,"634/22, 634/26-27, 634/38-39 and 634/41","634/22, 634/26-27, 634/38-39 及 634/41",764,290,290
63423S,634/23-25,634/23-25,542,188,188
63428,634/28,634/28,619,220,220
63429,634/29,634/29,512,195,195
63430S,"634/30, 634/33 and 634/42-43","634/30, 634/33 及 634/42-43",516,202,202
63431,634/31,634/31,957,197,230
63432,634/32,634/32,582,218,218
63434,634/34,634/34,852,269,269
63435,634/35,634/35,2131,789,799
63437,634/37,634/37,407,156,156
64101S,641/01-04,641/01-04,1197,376,376
64105S,641/05 and 641/09,641/05 及 641/09,587,200,210
64106S,641/06-08 and 641/10-22,641/06-08 及 641/10-22,1658,536,536
64201S,642/01 and 642/18,642/01 及 642/18,970,332,332
64202S,"642/02, 642/04-05 and 642/17","642/02, 642/04-05 及 642/17",902,317,317
64203,642/03,642/03,466,162,162
64206S,642/06-16,642/06-16,651,224,224
65101S,"651/01-02, 651/04, 651/07, 652/11, 652/15, 652/18 and 652/20-23","651/01-02, 651/04, 651/07, 652/11, 652/15, 652/18 及 652/20-23",911,319,319
65103,651/03,651/03,565,242,242
65105S,651/05 and 652/05-10,651/05 及 652/05-10,477,135,135
65201,652/01,652/01,1185,283,283
65202S,652/02-04,652/02-04,609,224,224
65212S,"652/12-14, 652/16-17 and 652/19","652/12-14, 652/16-17 及 652/19",796,241,241
65224S,"652/24-34, 653/01-03, 653/05-13 and 653/16-40","652/24-34, 653/01-03, 653/05-13 及 653/16-40",1769,612,622
65235S,652/35-36,652/35-36,596,154,164
65237,652/37,652/37,573,186,179
65238,652/38,652/38,1902,490,490
71101S,"711/01-04, 712/01-02, 721/20 and 728/29-34","711/01-04, 712/01-02, 721/20 及 728/29-34",2450,842,842
72001S,"720/01-02, 720/04, 720/07-08 and 720/10-12","720/01-02, 720/04, 720/07-08 及 720/10-12",757,280,280
72009,720/09,720/09,3646,992,992
72203S,"722/03-05, 722/22-23, 722/29-30 and 727/01-13","722/03-05, 722/22-23, 722/29-30 及 727/01-13",4748,1455,1455
72206S,"722/06, 722/09, 722/12 and 722/20","722/06, 722/09, 722/12 及 722/20",23148,7637,7882
72208,722/08,722/08,886,225,247
72210S,722/10-11,722/10-11,1305,411,411
72213,722/13,722/13,2349,684,691
72214S,722/14 and 722/16,722/14 及 722/16,702,186,186
72215,722/15,722/15,5661,2227,2227
72221,722/21,722/21,666,207,207
72224,722/24,722/24,775,223,223
72225,722/25,722/25,5286,1111,1111
72231,722/31,722/31,419,57,145
72232S,722/32-33 and 722/39,722/32-33 及 722/39,3114,818,818
72234,722/34,722/34,1262,402,410
72235S,722/35-38,722/35-38,745,279,279
72301S,723/01-02,723/01-02,868,404,404
72303S,723/03-05,723/03-05,1386,563,563
72306S,723/06-07,723/06-07,1458,464,477
72308S,723/08-09,723/08-09,980,203,192
72310,723/10,723/10,621,231,231
72311,723/11,723/11,899,277,277
72312,723/12,723/12,902,355,355
72313,723/13,723/13,856,414,414
72314,723/14,723/14,1113,389,389
72315S,723/15-16,723/15-16,1115,254,278
72317S,723/17 and 723/27,723/17 及 723/27,5402,2109,2122
72318,723/18,723/18,435,154,154
72319S,723/19-20,723/19-20,573,179,179
72321,723/21,723/21,448,136,136
72322S,723/22-24,723/22-24,942,426,415
72325,723/25,723/25,608,219,219
72326S,723/26 and 723/35,723/26 及 723/35,1287,271,279
72328S,723/28-29,723/28-29,1615,667,677
72330S,723/30-31 and 723/33-34,723/30-31 及 723/33-34,2207,743,754
72336S,723/36-39,723/36-39,17172,6020,6040
72340,723/40,723/40,1528,498,498
72341S,"723/41, 723/45-46, 723/49 and 723/52","723/41, 723/45-46, 723/49 及 723/52",598,172,172
72342,723/42,723/42,3210,1102,1110
72350,723/50,723/50,2596,727,737
72351,723/51,723/51,1929,580,596
72353S,723/53-54,723/53-54,15273,5166,5167
72355,723/55,723/55,3180,1002,1002
72356,723/56,723/56,4974,1809,1809
72357,723/57,723/57,999,311,312
72358,723/58,723/58,1040,313,313
72359,723/59,723/59,786,278,278
72403S,724/03-04,724/03-04,581,209,209
72406S,724/06-07,724/06-07,505,159,159
72408,724/08,724/08,1462,468,468
72411S,"724/11-12, 724/14-15 and 724/30","724/11-12, 724/14-15 及 724/30",2974,963,963
72416S,724/16-19,724/16-19,928,354,354
72420S,"724/20, 724/22-23 and 724/31","724/20, 724/22-23 及 724/31",1206,428,428
72424S,724/24 and 724/32-33,724/24 及 724/32-33,542,204,204
72427S,724/27-29,724/27-29,435,143,143
72503S,"725/03, 725/06, 725/09-10 and 725/19-20","725/03, 725/06, 725/09-10 及 725/19-20",3459,934,942
72508S,725/08 and 725/16,725/08 及 725/16,1089,306,306
72511,725/11,725/11,1123,326,326
72518,725/18,725/18,587,165,165
72601,726/01,726/01,20263,6608,6649
72602S,726/02-03,726/02-03,966,407,408
72604,726/04,726/04,2891,1049,1060
72605,726/05,726/05,1964,480,490
72606S,726/06-07,726/06-07,1132,339,339
72608S,726/08-10,726/08-10,1335,484,484
72611,726/11,726/11,1904,725,736
72614,726/14,726/14,3048,1171,1171
72615,726/15,726/15,1946,618,618
72616S,726/16 and 726/19,726/16 及 726/19,3338,1327,1327
72618,726/18,726/18,2315,665,665
72620,726/20,726/20,1993,585,585
72621,726/21,726/21,1462,641,641
72622,726/22,726/22,1308,464,464
72623,726/23,726/23,14568,4795,4822
72624S,726/24 and 726/30,726/24 及 726/30,4341,1453,1439
72625S,726/25-26,726/25-26,4880,1706,1720
72627S,726/27 and 726/29,726/27 及 726/29,4177,1600,1600
72628,726/28,726/28,14644,5335,5350
72631,726/31,726/31,1495,542,542
72632S,726/32-33,726/32-33,1196,476,476
72634,726/34,726/34,6775,2342,2358
72635,726/35,726/35,1211,387,387
72807,728/07,728/07,1276,372,372
72808S,"728/08, 728/11 and 728/35","728/08, 728/11 及 728/35",1057,332,332
72812S,728/12 and 728/38,728/12 及 728/38,704,203,211
72813,728/13,728/13,795,279,279
72814S,728/14-15,728/14-15,2867,435,473
72816S,728/16-19,728/16-19,975,259,259
72820S,728/20-22 and 728/37,728/20-22 及 728/37,1310,444,444
72823S,728/23 and 728/25-27,728/23 及 728/25-27,2718,999,999
72828,728/28,728/28,1237,375,375
72904,729/04,729/04,472,114,114
72907S,729/07 and 729/15,729/07 及 729/15,407,109,109
72908,729/08,729/08,485,129,140
72917S,729/17 and 729/23-24,729/17 及 729/23-24,1409,438,438
72918,729/18,729/18,1162,341,341
72919S,729/19-22 and 729/34-35,729/19-22 及 729/34-35,1663,470,478
72925S,729/25-27,729/25-27,1204,301,310
72928,729/28,729/28,900,215,215
72929,729/29,729/29,1364,379,379
72930S,729/30-31,729/30-31,2254,661,661
72932S,729/32-33,729/32-33,6346,1730,1730
73101S,"731/01, 733/01, 754/25, 754/33-34, 754/37 and 754/39","731/01, 733/01, 754/25, 754/33-34, 754/37 及 754/39",1896,534,542
73201S,732/01-07 and 753/19-20,732/01-07 及 753/19-20,984,325,325
74105S,"741/05, 741/20 and 741/23","741/05, 741/20 及 741/23",1026,343,343
74106S,741/06 and 741/24,741/06 及 741/24,1772,481,481
74107S,"741/07, 741/19 and 741/21","741/07, 741/19 及 741/21",601,206,206
74108S,"741/08-18, 741/25-26 and 744/01","741/08-18, 741/25-26 及 744/01",1537,549,558
74122,741/22,741/22,1147,371,379
74201S,"742/01-04, 742/06-31 and 743/01-10","742/01-04, 742/06-31 及 743/01-10",493,141,146
75107S,"751/07-08, 753/09 and 753/41-42","751/07-08, 753/09 及 753/41-42",1011,373,373
75302S,753/02 and 753/39-40,753/02 及 753/39-40,849,244,244
75303,753/03,753/03,1533,319,319
75312,753/12,753/12,5985,2076,2076
75313,753/13,753/13,13701,3705,3732
75314,753/14,753/14,1880,520,617
75315S,"753/15, 753/44-46 and 753/51","753/15, 753/44-46 及 753/51",2145,427,1053
75318,753/18,753/18,3621,990,990
75322,753/22,753/22,974,323,323
75323S,753/23-31 and 753/52,753/23-31 及 753/52,831,329,329
75334,753/34,753/34,917,272,272
75336S,753/36 and 753/49,753/36 及 753/49,781,231,243
75337S,753/37-38 and 753/50,753/37-38 及 753/50,1429,348,348
75343,753/43,753/43,515,177,185
75347S,753/47-48,753/47-48,8662,3259,3259
75401,754/01,754/01,1290,534,518
75402S,754/02 and 754/08,754/02 及 754/08,872,337,347
75403S,754/03-06 and 754/29,754/03-06 及 754/29,1012,458,458
75407,754/07,754/07,1098,449,449
75409,754/09,754/09,1280,450,450
75410,754/10,754/10,4337,1435,1435
75411,754/11,754/11,2147,742,742
75413,754/13,754/13,15586,6021,6039
75416,754/16,754/16,1174,333,333
75417,754/17,754/17,4547,1581,1592
75430S,754/30-32,754/30-32,1019,312,327
75435,754/35,754/35,756,207,207
75438,754/38,754/38,9438,2925,2925
75440S,754/40-41 and 754/47,754/40-41 及 754/47,13165,5154,5176
75442,754/42,754/42,483,142,142
75443S,754/43-45,754/43-45,1010,221,221
75446,754/46,754/46,2007,600,600
75501S,755/01 and 755/05,755/01 及 755/05,9704,3623,3623
75502S,755/02-03,755/02-03,474,161,161
75504,755/04,755/04,14167,5244,5244
75506,755/06,755/06,16151,6577,6607
75507S,755/07-08,755/07-08,980,323,334
75509S,755/09-10,755/09-10,1185,428,440
75511S,755/11-12,755/11-12,1937,857,868
75513,755/13,755/13,2550,1366,1398
75514,755/14,755/14,2842,1157,1179
75515S,755/15-17,755/15-17,1064,367,367
75518,755/18,755/18,575,219,219
75519S,755/19-22,755/19-22,6301,1809,1809
75523S,755/23-24,755/23-24,10501,4150,4194
75525,755/25,755/25,474,146,146
75526,755/26,755/26,1061,265,265
75601S,756/01-02 and 756/29,756/01-02 及 756/29,12370,3517,3517
75603,756/03,756/03,4891,1922,1922
75604,756/04,756/04,6430,1647,1659
75610S,756/10-11,756/10-11,1017,322,333
75612S,756/12-13 and 756/23,756/12-13 及 756/23,1116,398,408
75614S,"756/14-16, 761/01-14, 762/05, 762/07 and 762/09-12","756/14-16, 761/01-14, 762/05, 762/07 及 762/09-12",1007,209,246
75617S,756/17 and 756/19,756/17 及 756/19,26492,9830,9868
75618S,756/18 and 756/21,756/18 及 756/21,15324,4901,4916
75620,756/20,756/20,6092,2146,2154
75624,756/24,756/24,818,263,340
75625,756/25,756/25,13039,4180,4180
75626,756/26,756/26,8551,2805,2805
75627,756/27,756/27,2298,634,634
75628,756/28,756/28,1720,455,466
75706S,757/06-07 and 757/09,757/06-07 及 757/09,1379,448,448
75708,757/08,757/08,11244,3683,3683
75710,757/10,757/10,6124,2496,2518
75711,757/11,757/11,25660,7834,7834
75712,757/12,757/12,8595,2504,2504
75713,757/13,757/13,2790,988,988
75714S,757/14-15,757/14-15,17246,5430,5486
75716,757/16,757/16,25954,8093,8093
75717S,757/17-18,757/17-18,3221,1036,1042
75719,757/19,757/19,14260,4558,4558
75720,757/20,757/20,4736,1747,1747
75721,757/21,757/21,1498,475,475
75722,757/22,757/22,5557,1946,1955
75723,757/23,757/23,1674,508,508
75724,757/24,757/24,3045,886,903
75725,757/25,757/25,1752,570,570
75726,757/26,757/26,1779,577,577
75727,757/27,757/27,2587,1007,1015
75728,757/28,757/28,2440,906,906
75730S,757/30 and 757/35,757/30 及 757/35,1002,358,358
75731,757/31,757/31,3629,981,981
75732S,757/32 and 757/34,757/32 及 757/34,11920,4005,4031
75733,757/33,757/33,9496,3234,3260
75736,757/36,757/36,15128,4870,4895
75737,757/37,757/37,4215,1128,1153
75738S,757/38 and 757/42,757/38 及 757/42,12117,3577,3590
75739,757/39,757/39,5765,2004,2005
75740,757/40,757/40,2669,830,830
75741,757/41,757/41,2232,572,635
75802S,"758/02-03, 758/06 and 758/23","758/02-03, 758/06 及 758/23",2628,811,867
75804,758/04,758/04,4294,1686,1696
75805,758/05,758/05,3529,1324,1324
75807,758/07,758/07,8227,3180,3180
75810S,758/10-14,758/10-14,17824,5878,5903
75815,758/15,758/15,4600,1857,1857
75816S,758/16-17 and 758/26,758/16-17 及 758/26,706,279,279
75820S,758/20 and 758/25,758/20 及 758/25,2610,869,869
75824,758/24,758/24,4126,1853,1873
75901S,"759/01-03, 759/08 and 759/46","759/01-03, 759/08 及 759/46",1802,498,534
75909,759/09,759/09,2411,582,582
75910,759/10,759/10,4804,1560,1560
75911,759/11,759/11,768,187,192
75912,759/12,759/12,1055,236,236
75913,759/13,759/13,1701,417,417
75914S,759/14 and 759/42,759/14 及 759/42,3589,1330,1339
75916,759/16,759/16,6094,1920,1920
75917,759/17,759/17,1168,399,399
75918,759/18,759/18,14028,3786,3772
75919S,759/19-20,759/19-20,17651,6513,6523
75921,759/21,759/21,3326,1403,1413
75923,759/23,759/23,3908,1434,1459
75927,759/27,759/27,8972,3248,3248
75929S,759/29-30,759/29-30,895,274,274
75931,759/31,759/31,2899,878,890
75932S,759/32-34,759/32-34,2343,618,643
75936,759/36,759/36,846,306,306
75938,759/38,759/38,6010,2301,2313
75939,759/39,759/39,5462,2096,2096
75940,759/40,759/40,480,153,171
75941,759/41,759/41,1922,513,513
75943,759/43,759/43,13345,4268,4268
75944,759/44,759/44,1944,783,783
75945,759/45,759/45,19472,6269,6408
75947,759/47,759/47,1022,287,287
81101S,"811/01-06, 811/08 and 811/10-15","811/01-06, 811/08 及 811/10-15",1353,429,429
81107S,811/07 and 811/09,811/07 及 811/09,653,207,209
81201S,"812/01-06, 813/01-13, 814/01-04 and 815/01-03","812/01-06, 813/01-13, 814/01-04 及 815/01-03",1468,200,220
82001,820/01,820/01,756,181,191
82002S,820/02-05,820/02-05,498,162,162
82006S,820/06-07,820/06-07,1424,525,525
82008,820/08,820/08,514,152,152
82009,820/09,820/09,1942,584,584
82010S,820/10-18 and 824/01-11,820/10-18 及 824/01-11,1309,440,440
82101S,821/01-07,821/01-07,1068,355,355
82201S,"822/01-03, 822/08 and 822/26","822/01-03, 822/08 及 822/26",980,296,296
82204S,822/04-07,822/04-07,534,150,150
82209,822/09,822/09,1756,620,627
82210S,822/10-13 and 822/27,822/10-13 及 822/27,1057,311,311
82214S,822/14-15,822/14-15,815,258,264
82228S,822/28-29 and 822/31-35,822/28-29 及 822/31-35,1115,347,353
82301S,823/01-02,823/01-02,1323,390,390
82304,823/04,823/04,498,140,140
82327,823/27,823/27,2564,640,635
82502,825/02,825/02,1547,474,472
82503S,825/03-05,825/03-05,657,234,234
82506S,825/06 and 825/08,825/06 及 825/08,588,210,214
82507,825/07,825/07,425,126,126
82509,825/09,825/09,448,167,167
82601S,826/01 and 828/01-02,826/01 及 828/01-02,3111,1195,1195
82602,826/02,826/02,991,384,384
82603,826/03,826/03,2605,976,976
82701S,827/01-02,827/01-02,672,295,295
82703,827/03,827/03,1512,502,502
82704,827/04,827/04,732,241,241
82901,829/01,829/01,1146,384,384
82902S,829/02-06,829/02-06,527,191,191
82907S,829/07-08,829/07-08,518,131,135
82909S,829/09-10,829/09-10,535,167,167
83102,831/02,831/02,2484,598,601
83105,831/05,831/05,464,100,109
83106,831/06,831/06,2188,760,763
83107S,831/07 and 831/24,831/07 及 831/24,804,231,249
83108,831/08,831/08,614,183,183
83109,831/09,831/09,1166,311,311
83110,831/10,831/10,732,117,146
83111,831/11,831/11,415,97,97
83112,831/12,831/12,2149,675,665
83113S,831/13-15,831/13-15,1368,253,262
83116S,831/16-18,831/16-18,754,252,252
83121,831/21,831/21,2331,643,627
83122,831/22,831/22,2026,313,974
83123,831/23,831/23,651,171,171
83125,831/25,831/25,467,121,121
83126,831/26,831/26,2189,633,633
83127S,831/27-29,831/27-29,1298,376,385
83201S,"832/01, 832/06, 832/17-18 and 834/01-02","832/01, 832/06, 832/17-18 及 834/01-02",482,147,147
83205S,"832/05, 832/07 and 832/09","832/05, 832/07 及 832/09",1550,398,407
83208S,832/08 and 832/10,832/08 及 832/10,640,202,202
83211,832/11,832/11,972,299,299
83304S,833/04 and 833/14,833/04 及 833/14,15882,5492,5539
83305S,833/05-10 and 833/15,833/05-10 及 833/15,15939,5378,5404
83312,833/12,833/12,20001,6897,6897
83313,833/13,833/13,15579,4661,4683
83501,835/01,835/01,18024,5760,5839
83502S,835/02-07,835/02-07,5559,1789,1790
83508S,835/08-13,835/08-13,772,125,133
83601S,"836/01-08, 836/21 and 836/26","836/01-08, 836/21 及 836/26",1501,440,440
83609S,836/09-12,836/09-12,4628,1514,1496
83613,836/13,836/13,20467,6811,6834
83614S,836/14-15,836/14-15,7405,2551,2577
83616S,836/16-17,836/16-17,16812,5928,5950
83618,836/18,836/18,8832,3030,3030
83619,836/19,836/19,4649,1655,1655
83620,836/20,836/20,2129,524,529
83622S,836/22-23 and 836/25,836/22-23 及 836/25,4956,1450,1443
83624,836/24,836/24,16893,6005,5998
83701S,837/01 and 837/03,837/01 及 837/03,716,213,213
83702S,"837/02, 837/04, 837/07-08 and 837/17","837/02, 837/04, 837/07-08 及 837/17",652,212,231
83705S,837/05-06,837/05-06,7115,2304,2312
83709,837/09,837/09,13927,4387,4387
83710,837/10,837/10,6956,2162,2173
83711,837/11,837/11,7575,2421,2417
83712,837/12,837/12,13262,4042,4020
83713S,837/13-14 and 837/16,837/13-14 及 837/16,17596,5768,5839
83715,837/15,837/15,13439,4232,4276
83801,838/01,838/01,36892,11064,11101
83802S,838/02 and 838/16-18,838/02 及 838/16-18,5936,1811,1821
83804,838/04,838/04,6058,1810,1819
83805,838/05,838/05,12499,4266,4286
83806S,838/06-07,838/06-07,2969,1076,1076
83808,838/08,838/08,12845,3926,3926
83809,838/09,838/09,11994,4209,4221
83810S,838/10-12 and 838/19,838/10-12 及 838/19,2351,718,741
83813S,838/13-14,838/13-14,15092,5152,5163
83901S,"839/01-04, 839/06 and 839/12","839/01-04, 839/06 及 839/12",4856,1665,1675
83905S,"839/05, 839/10-11 and 839/13-19","839/05, 839/10-11 及 839/13-19",25721,7553,7549
91101S,"911/01-09, 912/01-04 and 913/01","911/01-09, 912/01-04 及 913/01",566,332,332
91205S,912/05-07 and 912/18,912/05-07 及 912/18,981,458,458
91208,912/08,912/08,593,249,249
91209S,912/09-10,912/09-10,453,156,150
91211,912/11,912/11,528,213,207
91212S,912/12-16,912/12-16,515,204,211
91217,912/17,912/17,1700,730,730
91219,912/19,912/19,678,298,311
92001S,920/01-03,920/01-03,2607,833,842
92004,920/04,920/04,9617,3305,3340
92005,920/05,920/05,1801,591,591
92006S,920/06-09,920/06-09,1460,615,639
92010,920/10,920/10,1415,437,437
92011,920/11,920/11,754,244,244
92012,920/12,920/12,670,240,243
92013,920/13,920/13,1954,748,748
92014S,920/14-18,920/14-18,678,262,262
93101S,931/01-14 and 933/01,931/01-14 及 933/01,700,276,285
93115,931/15,931/15,867,328,328
93116S,931/16-17,931/16-17,881,316,306
93118S,931/18-21,931/18-21,696,253,260
93201,932/01,932/01,2014,590,624
93202S,932/02-03 and 934/01-02,932/02-03 及 934/01-02,512,199,207
94101S,"941/01-07, 942/02-08, 942/10 and 943/01-10","941/01-07, 942/02-08, 942/10 及 943/01-10",1184,238,271
94401S,"944/01-03, 944/05-08 and 944/12-14","944/01-03, 944/05-08 及 944/12-14",1068,446,446
94404S,944/04 and 944/09-10,944/04 及 944/09-10,889,422,422
94411,944/11,944/11,1326,583,583
95001S,"950/01-02, 950/04-05 and 951/01-06","950/01-02, 950/04-05 及 951/01-06",407,163,163
95003,950/03,950/03,838,259,249
95006S,950/06-07,950/06-07,37273,11839,11839
95008S,"950/08, 950/10-13, 950/19-24 and 950/30-32","950/08, 950/10-13, 950/19-24 及 950/30-32",1035,325,325
95009,950/09,950/09,689,280,280
95014S,950/14-18,950/14-18,1061,377,373
95028,950/28,950/28,45100,15801,15929
96101S,"961/01-12, 961/17, 961/19-21 and 962/08-09","961/01-12, 961/17, 961/19-21 及 962/08-09",851,284,290
96201,962/01,962/01,2997,1165,1190
96202,962/02,962/02,722,266,266
96203S,962/03 and 962/12,962/03 及 962/12,756,308,300
96204S,962/04 and 962/11,962/04 及 962/11,470,213,213
96205S,962/05-07,962/05-07,672,257,257
96301S,963/01-02,963/01-02,935,22,26
97101S,971/01-04 and 971/08,971/01-04 及 971/08,4395,1764,1796
97106S,"971/06, 972/02, 973/01-03 and 974/01-12","971/06, 972/02, 973/01-03 及 974/01-12",7656,2863,2918
97107,971/07,971/07,8357,2918,2936
97501,975/01,975/01,13237,4815,4835
97502S,975/02-04,975/02-04,1775,634,634
97601,976/01,976/01,1771,697,697
97602,976/02,976/02,790,323,323
97603S,976/03-05 and 976/10-12,976/03-05 及 976/10-12,900,401,401
97606S,976/06-07 and 976/13,976/06-07 及 976/13,997,463,456
97608S,976/08-09,976/08-09,1022,481,481
999999,Land total,陸上總計,7335384,2509337,2525629
