街段–小合併組,街段–小合併組（英文名稱）,街段–小合併組（中文名稱）,總人口,家庭住戶數目,有人居住的屋宇單位數目
Small Street Block Group,Name of Small Street Block Group (in English),Name of Small Street Block Group (in Chinese),Total population,Domestic households,Occupied quarters
ssbg,ssbg_eng,ssbg_chi,t_pop,dh,oq
19206,192/06,192/06,1442,399,399
19207S,192/07-08,192/07-08,1460,325,339
19209S,192/09-14,192/09-14,949,227,227
19215S,192/15 and 192/17,192/15 及 192/17,1543,400,409
19218S,192/18 and 194/08,192/18 及 194/08,1824,428,428
19219,192/19,192/19,2513,645,658
19301S,193/01-04,193/01-04,793,147,192
19502,195/02,195/02,664,171,171
19503S,195/03-04,195/03-04,862,227,227
19505,195/05,195/05,428,100,100
19506S,195/06 and 195/08-11,195/06 及 195/08-11,1172,451,474
19513S,"195/13, 195/15-16, 195/21-22 and 198/01","195/13, 195/15-16, 195/21-22 及 198/01",4017,698,701
19517S,195/17-18,195/17-18,1010,224,224
19519S,195/19-20,195/19-20,5865,2106,2141
19523,195/23,195/23,445,99,107
19603S,196/03-05 and 196/08-10,196/03-05 及 196/08-10,1667,470,484
19606,196/06,196/06,1482,353,353
19607,196/07,196/07,1270,337,348
19702S,197/02 and 197/04-07,197/02 及 197/04-07,591,157,157
19709S,197/09-13 and 197/15,197/09-13 及 197/15,840,244,244
19714,197/14,197/14,722,220,214
21105,211/05,211/05,473,211,211
21106,211/06,211/06,889,301,293
21107,211/07,211/07,942,386,377
21108S,211/08-09,211/08-09,1180,440,440
21110,211/10,211/10,843,336,343
