31st 200m 2nd point _3914416996T20050430_Ruby Court,3914416996T20050430,Ruby Court,寶石樓,4.5,LiDAR,42.0,Photogrammetry,37.5,x
32nd 200m 1st point _3936417029T20070425_,3936417029T20070425,,,4.3,External Sources,125.699997,Trigonometrical Height or GPS,121.399997,x
32nd 200m 2nd point_3929317042P20060312_,3929317042P20060312,,,4.4,LiDAR,19.5,Photogrammetry,15.1,x
32nd 200m 3rd point_3931316966T20050430_Hong Shing Court,3931316966T20050430,Hong Shing Court,康勝閣,14.6,Photogrammetry,94.5,3D Project,79.9,x
32nd 200m 4th point _3936016982T20050430_North Point Mansion,3936016982T20050430,North Point Mansion,北角大廈,4.5,LiDAR,48.5,Photogrammetry,44.0,x
"33rd 200m 1st point_3952616962T20050430_Harbour Plaza, North Point",3952616962T20050430,"Harbour Plaza, North Point",北角海逸酒店,19.1,Photogrammetry,103.5,Photogrammetry,84.4,x
33rd 200m 2nd point _3947116941T20050430_AIA Hong Kong Tower,3947116941T20050430,AIA Hong Kong Tower,友邦香港大摟,4.5,LiDAR,74.0,3D Project,69.5,x
33rd 200m 3rd point_3949516898T20050430_Man Cheung House,3949516898T20050430,Man Cheung House,民祥樓,4.7,LiDAR,25.200001,Photogrammetry,20.500001,x
33rd 200m 4th point _3951616889T20050430_Man Ning House,3951616889T20050430,Man Ning House,民寧樓,4.6,LiDAR,22.200001,3D Project,17.600001,x
34th 200m 1st point_3964416795T20050430_Lai Wah Mansion,3964416795T20050430,Lai Wah Mansion,麗華樓,4.3,LiDAR,46.200001,3D Project,41.900001,x
34th 200m 2nd point _3960916746T20050430_Lido Apartments,3960916746T20050430,Lido Apartments,麗都大廈,4.5,LiDAR,56.799999,Photogrammetry,52.299999,x
34th 200m 3rd point_3958316762P20190402_,3958316762P20190402,,,4.5,Building Plan,22.700001,Building Plan,18.200001,x
34th 200m 4th point_3958516796T20050430_Mansion Building,3958516796T20050430,Mansion Building,民新大廈,4.6,LiDAR,43.799999,Photogrammetry,39.199999,x
35th 200m 1st point_3971016573T20050430_,3971016573T20050430,,,4.8,LiDAR,32.0,Photogrammetry,27.2,x
35th 200m 2nd point _3965616556T20050430_Quarry Bay Station,3965616556T20050430,Quarry Bay Station,鰂魚涌站,4.6,LiDAR,27.5,3D Project,22.9,x
