originid,destinationid,distance,duration
10,52,1117,871
10,53,2147,1732
10,54,746,621
10,55,1138,880
10,56,962,857
10,57,985,907
10,58,942,825
10,59,338,290
10,60,632,514
10,61,612,520
10,62,683,577
10,63,857,730
10,64,669,579
10,65,711,556
10,66,1138,880
10,67,1009,827
10,68,1210,977
10,69,465,391
10,70,788,648
10,71,2147,1732
10,72,1300,1092
10,73,1009,829
10,74,204,156
10,75,2147,1732
10,76,0,0
10,77,710,607
10,78,717,574
10,79,978,906
10,80,2147,1732
10,81,1191,1012
10,82,1339,1067
10,83,1009,827
10,84,1009,829
10,86,1497,1128
11,1,1973,1602
11,2,1206,924
11,3,738,685
11,4,1282,940
11,5,1653,1341
11,6,941,853
11,7,830,655
11,8,730,630
11,9,1277,1151
11,10,968,785
11,12,1445,1121
11,13,804,677
11,14,730,630
11,15,576,462
11,16,968,785
11,17,358,413
11,18,1445,1121
11,19,3312,2671
11,20,41,30
11,21,3316,2597
11,22,968,785
11,23,1340,997
11,24,2673,2091
11,25,672,577
11,26,299,215
11,27,1134,864
11,28,82,61
11,29,1229,1111
11,30,968,785
11,31,764,650
11,32,968,785
11,33,744,595
11,34,1280,1153
11,35,673,492
11,36,795,631
11,37,864,680
11,38,696,511
11,39,1229,1111
11,40,1174,939
11,41,864,680
11,42,1153,1007
11,43,1077,837
11,44,678,583
11,45,968,785
11,46,1445,1121
11,47,2175,1816
11,48,968,785
11,49,1445,1121
11,51,1522,1164
11,52,1117,853
11,53,1445,1121
11,54,564,482
11,55,1471,1123
11,56,1104,975
11,57,1228,1111
11,58,927,826
11,59,1190,950
11,60,853,677
11,61,736,622
11,62,678,583
11,63,767,675
11,64,299,215
11,65,1679,1341
11,66,1471,1123
11,67,1977,1612
11,68,673,492
11,69,799,634
11,70,523,417
11,71,1445,1121
11,72,908,811
11,73,41,30
11,74,1135,910
11,75,1445,1121
11,76,968,785
11,77,257,183
11,78,1051,817
11,79,1342,1206
11,80,1445,1121
11,81,2068,1714
11,82,773,563
11,83,1977,1612
11,84,41,30
11,86,2427,1910
12,1,3177,2409
12,2,488,343
12,3,1522,1280
12,4,1378,984
12,5,202,184
12,6,1851,1558
12,7,1597,1147
12,8,1757,1401
12,9,2244,1902
12,10,2219,1673
12,11,1517,1077
12,13,1298,1074
12,14,1757,1401
12,15,1651,1300
12,16,2219,1673
12,17,1568,1264
12,18,0,0
12,19,4241,3247
12,20,1507,1067
12,21,4245,3173
12,22,2219,1673
12,23,1068,764
12,24,3600,2665
12,25,1699,1351
12,26,1550,1104
12,27,1433,1067
12,28,1504,1065
12,29,2287,1904
12,30,2219,1673
12,31,1823,1443
12,32,2219,1673
12,33,1346,964
12,34,2247,1904
12,35,1105,763
12,36,1851,1328
12,37,1465,1050
12,38,1129,782
12,39,2287,1904
12,40,2245,1768
12,41,1465,1050
12,42,888,814
