,frame,length,turning_smoothed,turning
1851,1851,,-0.3319417306298252,-0.3315770981818127
1852,1852,,-0.29142090723180075,-0.2789874168058883
1853,1853,,-0.24779979329295343,-0.2453906944179272
1854,1854,,-0.2022381520610143,-0.2086817623350266
1855,1855,,-0.15455110854955106,-0.1584244752068847
1856,1856,,-0.10447034455363481,-0.1039406094158495
1857,1857,,-0.053323420797413604,-0.0512371674034188
1858,1858,,-0.0017647164468681704,0.0
1859,1859,,0.04917592004966349,0.0503775071810578
1860,1860,,0.09831835572377212,0.104457123473621
1861,1861,,0.14588872507383363,0.138885015520213
1862,1862,,0.19206181043917123,0.1926174392158195
1863,1863,,0.23579923168411387,0.243699482500621
1864,1864,,0.2775051140309647,0.2791598738466971
1865,1865,,0.3160850959210817,0.3133271675841541
1866,1866,,0.3524280458434284,0.3483786415846849
1867,1867,,0.38488436186845826,0.3835275159569918
1868,1868,,0.41306926806223454,0.4185983943996874
1869,1869,,0.4371520236878408,0.4361158411205946
1870,1870,,0.45877548503360455,0.45378713972417
1871,1871,,0.47638460756690665,0.4720206190672428
1872,1872,,0.4904016850623921,0.4888233856139668
1873,1873,,0.49932304977544,0.5051991714435978
1874,1874,,0.5033934424966231,0.505490530219416
1875,1875,,0.503334565291526,0.5061106877890382
1876,1876,,0.49751784789272624,0.4890463031228334
1877,1877,,0.4871528130218011,0.4876533794812693
1878,1878,,0.4716100206928762,0.4711136391969447
1879,1879,,0.4507382773691016,0.453813875595147
1880,1880,,0.4261844613105479,0.4349301917454935
1881,1881,,0.3978328779388051,0.4014135394424293
1882,1882,,0.36484098558380723,0.3656145211801372
1883,1883,,0.3283343911880228,0.3320594675428854
1884,1884,,0.2879661005106114,0.2779980908598503
1885,1885,,0.24499205482937217,0.2425176344612895
1886,1886,,0.20062612196170732,0.1921691266018916
1887,1887,,0.15462581960556068,0.1586552621864014
1888,1888,,0.10700527519993006,0.1050662251182817
1889,1889,,0.05760808394803332,0.0519976958241423
1890,1890,,0.0075960441123597185,0.0163919743080052
1891,1891,,-0.042132330730595545,-0.0324795487875004
1892,1892,,-0.09037054285643842,-0.0873682598525099
1893,1893,,-0.13737817033711963,-0.1400173575698668
1894,1894,,-0.18353392815598313,-0.1932755125325693
1895,1895,,-0.22775361951523715,-0.2291471803320334
1896,1896,,-0.27040896777166035,-0.2628850585074175
1897,1897,,-0.3107396990924812,-0.3131670742149366
1898,1898,,-0.3482721727804123,-0.3482209486338814
1899,1899,,-0.3823564830851172,-0.3841489990381433
1900,1900,,-0.4118606805580875,-0.4191129220366776
1901,1901,,-0.4377869462870377,-0.4364576587134074
1902,1902,,-0.4591287982260105,-0.4539391761666972
1903,1903,,-0.4756609738328007,-0.4708813787930019
1904,1904,,-0.48888680910978355,-0.4884188659290414
1905,1905,,-0.496957154358063,-0.5050252523525134
1906,1906,,-0.5015237892858178,-0.5063507850760227
1907,1907,,-0.502914917022182,-0.5060422198900564
1908,1908,,-0.49916640168128534,-0.489156164740697
1909,1909,,-0.49042279614011897,-0.4883339510564055
1910,1910,,-0.47700307467147024,-0.4708813787930019
1911,1911,,-0.4586100087187668,-0.4533209537187664
1912,1912,,-0.4364555773396762,-0.4363106707429817
1913,1913,,-0.4094904775717779,-0.4183754326303607
1914,1914,,-0.3793377372022154,-0.3834801450427686
1915,1915,,-0.3454945868755052,-0.3489752936729955
1916,1916,,-0.3075422963375356,-0.314263173517479
1917,1917,,-0.26650851460694375,-0.279169791480746
1918,1918,,-0.22352135871487058,-0.2100226698202912
1919,1919,,-0.1785080254919887,-0.1770405676898915
1920,1920,,-0.13127285900888372,-0.1221434242489691
1921,1921,,-0.08175464488277684,-0.0700605826384554
1922,1922,,-0.031022943528295637,-0.0364801591229497
1923,1923,,0.019728609019797786,0.0170438039949974
1924,1924,,0.06920163096947357,0.0694533259953221
1925,1925,,0.118243653684886,0.1050662251182817
1926,1926,,0.16560493942044488,0.1597979555899158
1927,1927,,0.21011890895908616,0.20871194919166
