sample_id,x,y,routeid,distance,accessibility
195,840335.282,819537.473,11,25,0.003201310588696032
196,840338.857,819533.978,11,30,0.003223362363797015
197,840951.794,819428.951,12,0,0.0028808508608066594
198,840947.145,819430.792,12,5,0.0014963424659938552
199,840942.496,819432.633,12,10,0.0015192610702306954
200,840937.848,819434.473,12,15,0.0015421624414766978
201,840933.199,819436.314,12,20,0.0015650463295697433
202,840928.55,819438.155,12,25,0.0015879124839886158
203,840923.901,819439.996,12,30,0.001610760654162908
204,840919.253,819441.837,12,35,0.0016335905891967431
205,840914.604,819443.678,12,40,0.001656402038055267
206,840909.955,819445.519,12,45,0.0016791947494671062
