buildingid,gfa,height,x,y,buildingnameid,lastupdated,buildingname
1810082924,10683.817,99,838417.08,822411.946,1810019799,01/07/2014,Lions Rise Tower 6A
1108220695,88.439,4.8,839185.129,822887.16,,,
1108220760,340.824,22.7,838320.994,822849.162,,,
1108220762,335.871,22,838367.217,822848.983,,,
1108220768,309.413,21.3,838270.581,822848.966,,,
1108220697,260.673,9.8,839032.701,822884.713,1109617818,01/07/2014,Tsz Wan Shan School Village Room C
1108220718,2983.973,24,838848.26,822870.402,,,
1108220765,335.868,22.6,838381.034,822848.927,,,
1108220766,332.982,22.1,838330.206,822848.956,,,
1108220750,347.639,21.6,838339.539,822849.448,,,
1108220761,327.545,22.7,838325.58,822849.14,,,
1108220729,119.664,4.9,837077.18,822861.387,,,
1108220727,253.453,16,837543.333,822866.368,,,
1108220753,576.79,20.8,838387.905,822849.848,1109617518,01/07/2014,
1108220756,295.732,20,838242.814,822849.429,,,
