originid,destinationid,distance,duration
14,44,153,80
14,45,1134,291
14,46,1993,452
14,47,2186,459
14,48,1134,291
14,49,1993,452
14,51,2030,577
14,52,2091,580
14,53,1993,452
14,54,2344,511
14,55,12381,1098
14,56,1097,317
14,57,1741,439
14,58,1125,324
14,59,845,262
14,60,1474,414
14,61,727,236
14,62,153,80
14,63,328,103
14,64,1727,482
14,65,1627,414
14,66,12381,1098
14,67,1926,426
14,68,2554,608
14,69,1307,382
14,70,2332,393
14,71,1993,452
14,72,1585,398
14,73,2102,459
14,74,1194,368
14,75,1993,452
14,76,1134,291
14,77,1685,469
14,78,1570,456
14,79,1601,396
14,80,1993,452
14,81,2108,451
14,82,2702,637
14,83,1926,426
14,84,2102,459
14,86,1988,385
15,1,1493,247
15,2,2493,310
15,3,1185,294
15,4,3267,451
15,5,2713,262
15,6,841,191
15,7,1174,213
15,8,1024,274
15,9,1438,335
15,10,489,41
15,11,1765,260
15,12,2005,230
15,13,1060,217
15,14,1024,274
15,16,489,41
15,17,1838,292
15,18,2005,230
15,19,2202,204
15,20,1686,236
15,21,2732,460
15,22,489,41
15,23,2957,390
15,24,1577,123
15,25,1184,356
15,26,1310,259
15,27,1614,329
15,28,1683,235
15,29,1486,355
15,30,489,41
15,31,384,89
15,32,489,41
15,33,1168,156
15,34,1435,334
15,35,2137,384
15,36,2077,319
15,37,1288,171
15,38,2228,414
15,39,1486,355
15,40,456,108
15,41,1288,171
15,42,1664,384
15,43,1647,223
15,44,1177,354
15,45,489,41
15,46,2005,230
15,47,1827,250
15,48,489,41
15,49,2005,230
15,51,1614,353
15,52,1674,356
15,53,2005,230
15,54,2178,430
15,55,11736,848
15,56,724,163
15,57,1486,355
15,58,751,170
15,59,472,112
15,60,1057,190
15,61,354,82
15,62,1177,354
15,63,911,213
15,64,1310,259
15,65,1119,172
15,66,11736,848
15,67,1417,185
15,68,2137,384
15,69,890,158
15,70,2167,312
15,71,2005,230
15,72,1419,317
15,73,1686,236
15,74,697,129
15,75,2005,230
15,76,489,41
15,77,1269,245
15,78,1153,233
15,79,1347,312
15,80,2005,230
15,81,1599,210
15,82,2286,414
15,83,1417,185
15,84,1686,236
15,86,1334,104
16,1,1097,235
16,2,2731,481
16,3,1428,398
16,4,3506,623
16,5,2952,434
16,6,1083,294
16,7,1970,369
16,8,1267,385
16,9,2199,391
16,10,0,0
16,11,2004,432
16,12,2244,402
16,13,1302,328
16,14,1267,385
16,15,2475,427
16,17,2081,403
16,18,2244,402
16,19,1815,223
16,20,1924,407
16,21,2969,490
16,22,0,0
16,23,3196,561
16,24,1190,142
16,25,1427,468
16,26,1549,430
16,27,2331,477
16,28,1922,406
16,29,2248,412
16,30,0,0
16,31,627,193
16,32,0,0
16,33,1407,328
16,34,2196,390
16,35,2376,556
16,36,1682,307
16,37,1526,342
16,38,2467,586
16,39,2248,412
16,40,698,229
16,41,1526,342
16,42,1906,495
16,43,1252,211
16,44,1420,465
16,45,0,0
16,46,2244,402
16,47,1432,238
16,48,0,0
16,49,2244,402
16,51,1745,339
16,52,2391,505
16,53,2244,402
16,54,2421,541
16,55,11318,833
16,56,967,267
