typeCode,estateName,phaseName,address,nUnitPrice,postMinNUnitPrice,postMaxNUnitPrice,unitPrice,postMinUnitPrice,postMaxUnitPrice,minOpDate,maxOpDate,phaseCount,buildingCount,unitCount,blgHeight,lat,lng
1-MZHDZHMAHM,鴻運街6號,,鴻運街6號,5854,,,5854,,,1961-04-13T00:00:00,1961-04-13T00:00:00,0,1,7,7,22.32101581,114.1925303
1-MZHDZHSXHN,黃埔街17A號,,黃埔街17A號,5002,,,5002,,,1956-12-28T00:00:00,1956-12-28T00:00:00,0,1,7,7,22.30637779,114.1845317
1-MZHHIHLXHZ,榮光街102號,,榮光街102號,9740,,,9740,,,1959-06-27T00:00:00,1959-06-27T00:00:00,0,1,7,7,22.31382771,114.189676
1-MZHIIHSXHN,黃埔街39號,,黃埔街39號,14001,,,14001,,,1957-02-05T00:00:00,1957-02-05T00:00:00,0,1,7,7,22.30696475,114.1850946
1-MZHIIHXRHZ,環興街10號,,環興街10號,8137,,,8137,,,1958-05-05T00:00:00,1958-05-05T00:00:00,0,1,7,7,22.31286154,114.1882589
1-MZHITHLXHN,黃埔街20號,,黃埔街20號,9512,,,9512,,,1957-03-13T00:00:00,1957-03-13T00:00:00,0,1,7,7,22.30622425,114.1848131
1-MZHIZHHAHM,忠信街5號,,忠信街5號,8457,,,8457,,,1960-09-27T00:00:00,1960-09-27T00:00:00,0,1,7,7,22.31969718,114.1941704
1-MZHIZHLXHN,黃埔街36A號,,黃埔街36A號,2198,,,2198,,,1957-03-13T00:00:00,1957-03-13T00:00:00,0,1,7,7,22.30669383,114.1851722
1-MZHLIHLJHM,鷹揚街12號,,鷹揚街12號,940,,,940,,,1959-09-02T00:00:00,1959-09-02T00:00:00,0,1,7,7,22.32137707,114.1921421
1-MZHLIHSXHN,黃埔街41號,,黃埔街41號,13988,,,13988,,,1957-02-05T00:00:00,1957-02-05T00:00:00,0,1,7,7,22.3070099,114.1851431
1-MZHLIHXXHZ,環興街12號,,環興街12號,7673,,,7673,,,1958-05-05T00:00:00,1958-05-05T00:00:00,0,1,7,7,22.31284348,114.1882104
1-MZHLTHLXHN,黃埔街20A號,,黃埔街20A號,9515,,,9515,,,1957-03-13T00:00:00,1957-03-13T00:00:00,0,1,7,7,22.30622425,114.1848131
1-MZHLZHHXHM,忠信街9號,,忠信街9號,10221,,,10221,,,1960-09-27T00:00:00,1960-09-27T00:00:00,0,1,7,7,22.31959785,114.1941219
1-MZHLZHLXHN,黃埔街38號,,黃埔街38號,4872,,,4872,,,1957-03-13T00:00:00,1957-03-13T00:00:00,0,1,7,7,22.30673898,114.185211
1-MZHLZHSXHN,黃埔街21A號,,黃埔街21A號,4021,,,4021,,,1957-01-15T00:00:00,1957-01-15T00:00:00,0,1,7,7,22.30642293,114.1847355
1-MZHMZHMRHM,鴻運街4號,,鴻運街4號,8491,,,8491,,,1961-04-13T00:00:00,1961-04-13T00:00:00,0,1,7,7,22.32096163,114.1925011
1-MZHNIHSXHN,黃埔街37號,,黃埔街37號,15662,,,15662,,,1956-12-28T00:00:00,1956-12-28T00:00:00,0,1,7,7,22.30689251,114.1850461
1-MZHNTHLXHN,黃埔街18A號,,黃埔街18A號,9515,,,9515,,,1957-03-13T00:00:00,1957-03-13T00:00:00,0,1,7,7,22.3061791,114.1847743
1-MZHNZHHSHM,忠信街1號,,忠信街1號,10015,,,10015,,,1960-09-27T00:00:00,1960-09-27T00:00:00,0,1,7,7,22.31978748,114.194219
1-MZHNZHLXHN,黃埔街36號,,黃埔街36號,1176,,,1176,,,1957-03-13T00:00:00,1957-03-13T00:00:00,0,1,7,7,22.30669383,114.1851722
1-MZHNZHMXHM,鴻運街10號,,鴻運街10號,6394,,,6394,,,1961-04-13T00:00:00,1961-04-13T00:00:00,0,1,7,7,22.32112418,114.1925885
1-MZHNZHSXHN,黃埔街19號,,黃埔街19號,1180,,,1180,,,1957-01-15T00:00:00,1957-01-15T00:00:00,0,1,7,7,22.30636875,114.1846772
1-MZHSIHLAHM,鷹揚街10號,,鷹揚街10號,6252,,,6252,,,1959-09-02T00:00:00,1959-09-02T00:00:00,0,1,7,7,22.32133192,114.1921129
1-MZHSZHHJHM,忠信街7號,,忠信街7號,5545,,,5545,,,1960-09-27T00:00:00,1960-09-27T00:00:00,0,1,7,7,22.319643,114.1941413
1-MZHTIHSXHN,黃埔街35號,,黃埔街35號,15204,,,15204,,,1956-12-28T00:00:00,1956-12-28T00:00:00,0,1,7,7,22.30684735,114.1850266
1-MZHTTHLXHN,黃埔街16A號,,黃埔街16A號,11819,,,11819,,,1957-03-13T00:00:00,1957-03-13T00:00:00,0,1,7,7,22.30612492,114.1847452
1-MZHTZHISHZ,環樂街2號,,環樂街2號,8139,,,8139,,,1937-05-05T00:00:00,1937-05-05T00:00:00,0,1,7,7,22.31266285,114.1884724
1-MZHTZHLXHN,黃埔街34號,,黃埔街34號,1252,,,1252,,,1957-03-13T00:00:00,1957-03-13T00:00:00,0,1,7,7,22.30665771,114.1851528
1-MZHTZHMSHM,鴻運街2號,,鴻運街2號,3553,,,3553,,,1961-04-13T00:00:00,1961-04-13T00:00:00,0,1,7,7,22.32090745,114.1924817
